name,slug, births/1000 population,date_of_information,ranking,region
"Niger","niger","46.6","2024",1,"Africa"
"Angola","angola","41.1","2024",2,"Africa"
"Benin","benin","40.3","2024",3,"Africa"
"Mali","mali","40","2024",4,"Africa"
"Uganda","uganda","39.6","2024",5,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","39.2","2024",6,"Africa"
"Chad","chad","39.2","2024",7,"Africa"
"Somalia","somalia","37.4","2024",8,"Africa"
"Mozambique","mozambique","36.5","2024",9,"Africa"
"South Sudan","south-sudan","36.4","2024",10,"Africa"
"Guinea-Bissau","guinea-bissau","36","2024",11,"Africa"
"Guinea","guinea","35.3","2024",12,"Africa"
"Cameroon","cameroon","34.7","2024",13,"Africa"
"Burundi","burundi","34.6","2024",14,"Africa"
"Afghanistan","afghanistan","34.2","2024",15,"South Asia"
"Zambia","zambia","34.1","2024",16,"Africa"
"Nigeria","nigeria","33.8","2024",17,"Africa"
"Sudan","sudan","33.1","2024",18,"Africa"
"Tanzania","tanzania","32.5","2024",19,"Africa"
"Liberia","liberia","32.4","2024",20,"Africa"
"Central African Republic","central-african-republic","31.9","2024",21,"Africa"
"Burkina Faso","burkina-faso","31.9","2024",22,"Africa"
"Togo","togo","30.9","2024",23,"Africa"
"Sierra Leone","sierra-leone","30.8","2024",24,"Africa"
"Senegal","senegal","30.2","2024",25,"Africa"
"Timor-Leste","timor-leste","29.7","2024",26,"East and Southeast Asia"
"Ethiopia","ethiopia","29.6","2024",27,"Africa"
"Equatorial Guinea","equatorial-guinea","29","2024",28,"Africa"
"Zimbabwe","zimbabwe","28.8","2024",29,"Africa"
"Congo, Republic of the","congo-republic-of-the","28.7","2024",30,"Africa"
"Papua New Guinea","papua-new-guinea","28.1","2024",31,"East and Southeast Asia"
"West Bank","west-bank","27.8","2024",32,"Middle East"
"Ghana","ghana","27.6","2024",33,"Africa"
"Madagascar","madagascar","27.6","2024",34,"Africa"
"Cote d'Ivoire","cote-divoire","27.5","2024",35,"Africa"
"Gambia, The","gambia-the","27.3","2024",36,"Africa"
"Mauritania","mauritania","27.2","2024",37,"Africa"
"Gaza Strip","gaza-strip","26.8","2024",38,"Middle East"
"Sao Tome and Principe","sao-tome-and-principe","26.7","2024",39,"Africa"
"Malawi","malawi","26.6","2024",40,"Africa"
"Eritrea","eritrea","26.3","2024",41,"Africa"
"Tajikistan","tajikistan","25.8","2024",42,"Central Asia"
"Gabon","gabon","25.7","2024",43,"Africa"
"Kenya","kenya","25.6","2024",44,"Africa"
"Pakistan","pakistan","25.5","2024",45,"South Asia"
"Rwanda","rwanda","25","2024",46,"Africa"
"Namibia","namibia","24.3","2024",47,"Africa"
"Iraq","iraq","23.7","2024",48,"Middle East"
"Yemen","yemen","23.4","2024",49,"Middle East"
"Lesotho","lesotho","22.9","2024",50,"Africa"
"Eswatini","eswatini","22.3","2024",51,"Africa"
"Jordan","jordan","22.2","2024",52,"Middle East"
"Philippines","philippines","22.1","2024",53,"East and Southeast Asia"
"Solomon Islands","solomon-islands","22","2024",54,"Australia and Oceania"
"Tuvalu","tuvalu","22","2024",55,"Australia and Oceania"
"Djibouti","djibouti","21.8","2024",56,"Africa"
"Syria","syria","21.7","2024",57,"Middle East"
"Comoros","comoros","21.6","2024",58,"Africa"
"Guatemala","guatemala","21.4","2024",59,"Central America and the Caribbean"
"Haiti","haiti","21.2","2024",60,"Central America and the Caribbean"
"Marshall Islands","marshall-islands","21.2","2024",61,"Australia and Oceania"
"Oman","oman","21.1","2024",62,"Middle East"
"Vanuatu","vanuatu","20.8","2024",63,"Australia and Oceania"
"Uzbekistan","uzbekistan","20.5","2024",64,"Central Asia"
"Libya","libya","20.3","2024",65,"Africa"
"Nauru","nauru","20.2","2024",66,"Australia and Oceania"
"Algeria","algeria","20.2","2024",67,"Africa"
"Honduras","honduras","19.9","2024",68,"Central America and the Caribbean"
"Laos","laos","19.8","2024",69,"East and Southeast Asia"
"Kiribati","kiribati","19.7","2024",70,"Australia and Oceania"
"Tonga","tonga","19.7","2024",71,"Australia and Oceania"
"Botswana","botswana","19.6","2024",72,"Africa"
"Egypt","egypt","19.5","2024",73,"Africa"
"Israel","israel","19.1","2024",74,"Middle East"
"Samoa","samoa","18.8","2024",75,"Australia and Oceania"
"Kyrgyzstan","kyrgyzstan","18.7","2024",76,"Central Asia"
"Cambodia","cambodia","18.2","2024",77,"East and Southeast Asia"
"Guam","guam","18.1","2024",78,"Australia and Oceania"
