name,slug, deaths/1000 live births,date_of_information,ranking,region
"Afghanistan","afghanistan","101.3","2024",1,"South Asia"
"Somalia","somalia","83.6","2024",2,"Africa"
"Central African Republic","central-african-republic","80.5","2024",3,"Africa"
"Equatorial Guinea","equatorial-guinea","77.4","2024",4,"Africa"
"Sierra Leone","sierra-leone","71.2","2024",5,"Africa"
"Niger","niger","64.3","2024",6,"Africa"
"Chad","chad","62.5","2024",7,"Africa"
"South Sudan","south-sudan","60.1","2024",8,"Africa"
"Mozambique","mozambique","58.2","2024",9,"Africa"
"Mali","mali","57.4","2024",10,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","57.4","2024",11,"Africa"
"Liberia","liberia","55.7","2024",12,"Africa"
"Angola","angola","55.6","2024",13,"Africa"
"Comoros","comoros","54.9","2024",14,"Africa"
"Nigeria","nigeria","53.7","2024",15,"Africa"
"Benin","benin","52.9","2024",16,"Africa"
"Cote d'Ivoire","cote-divoire","52.5","2024",17,"Africa"
"Pakistan","pakistan","51.5","2024",18,"South Asia"
"Mauritania","mauritania","48.9","2024",19,"Africa"
"Burkina Faso","burkina-faso","47","2024",20,"Africa"
"Guinea","guinea","47","2024",21,"Africa"
"Guinea-Bissau","guinea-bissau","46.4","2024",22,"Africa"
"Cameroon","cameroon","46.1","2024",23,"Africa"
"Lesotho","lesotho","45.7","2024",24,"Africa"
"Djibouti","djibouti","45.2","2024",25,"Africa"
"Yemen","yemen","44.6","2024",26,"Middle East"
"Sao Tome and Principe","sao-tome-and-principe","42.6","2024",27,"Africa"
"Sudan","sudan","40.6","2024",28,"Africa"
"Eritrea","eritrea","39.8","2024",29,"Africa"
"Togo","togo","38.4","2024",30,"Africa"
"Madagascar","madagascar","37.5","2024",31,"Africa"
"Haiti","haiti","36.8","2024",32,"Central America and the Caribbean"
"Eswatini","eswatini","36.7","2024",33,"Africa"
"Turkmenistan","turkmenistan","35.9","2024",34,"Central Asia"
"Gambia, The","gambia-the","35.7","2024",35,"Africa"
"Burundi","burundi","35.7","2024",36,"Africa"
"Zambia","zambia","35.6","2024",37,"Africa"
"Laos","laos","35.4","2024",38,"East and Southeast Asia"
"Zimbabwe","zimbabwe","33.4","2024",39,"Africa"
"Ethiopia","ethiopia","32.6","2024",40,"Africa"
"Timor-Leste","timor-leste","32.2","2024",41,"East and Southeast Asia"
"Burma","burma","32.1","2024",42,"East and Southeast Asia"
"Papua New Guinea","papua-new-guinea","32","2024",43,"East and Southeast Asia"
"Malawi","malawi","31.9","2024",44,"Africa"
"Kiribati","kiribati","31.5","2024",45,"Australia and Oceania"
"Ghana","ghana","31.2","2024",46,"Africa"
"Senegal","senegal","31.1","2024",47,"Africa"
"Congo, Republic of the","congo-republic-of-the","30.6","2024",48,"Africa"
"India","india","30.4","2024",49,"South Asia"
"Suriname","suriname","29.6","2024",50,"South America"
"Tanzania","tanzania","29.6","2024",51,"Africa"
"Bangladesh","bangladesh","28.8","2024",52,"South Asia"
"Uganda","uganda","28.5","2024",53,"Africa"
"Cambodia","cambodia","27.9","2024",54,"East and Southeast Asia"
"Namibia","namibia","27.9","2024",55,"Africa"
"Tuvalu","tuvalu","27.8","2024",56,"Australia and Oceania"
"Gabon","gabon","26.9","2024",57,"Africa"
"Kenya","kenya","26.1","2024",58,"Africa"
"Guatemala","guatemala","25","2024",59,"Central America and the Caribbean"
"Rwanda","rwanda","24.9","2024",60,"Africa"
"Kyrgyzstan","kyrgyzstan","24.5","2024",61,"Central Asia"
"Maldives","maldives","24.4","2024",62,"South Asia"
"Bhutan","bhutan","24.3","2024",63,"South Asia"
"Nepal","nepal","24","2024",64,"South Asia"
"Botswana","botswana","23.7","2024",65,"Africa"
"Kosovo","kosovo","22.9","2024",66,"Europe"
"Cabo Verde","cabo-verde","22.4","2024",67,"Africa"
"Bolivia","bolivia","22.3","2024",68,"South America"
"Philippines","philippines","22","2024",69,"East and Southeast Asia"
"Paraguay","paraguay","22","2024",70,"South America"
"South Africa","south-africa","21.9","2024",71,"Africa"
"Georgia","georgia","21.7","2024",72,"Middle East"
"Tajikistan","tajikistan","21.7","2024",73,"Central Asia"
"Dominican Republic","dominican-republic","21.7","2024",74,"Central America and the Caribbean"
"Guyana","guyana","21.1","2024",75,"South America"
"Micronesia, Federated States of","micronesia-federated-states-of","20.9","2024",76,"Australia and Oceania"
"Marshall Islands","marshall-islands","20.6","2024",77,"Australia and Oceania"
"Mongolia","mongolia","19.4","2024",78,"East and Southeast Asia"
"Solomon Islands","solomon-islands","19.1","2024",79,"Australia and Oceania"
"Indonesia","indonesia","18.9","2024",80,"East and Southeast Asia"
"Iraq","iraq","18.7","2024",81,"Middle East"
"Algeria","algeria","18.7","2024",82,"Africa"
"Turkey (Turkiye)","turkey-turkiye","18.4","2024",83,"Middle East"
"Morocco","morocco","18.3","2024",84,"Africa"
"Uzbekistan","uzbekistan","18.2","2024",85,"Central Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","18.1","2024",86,"Africa"
"Samoa","samoa","17.3","2024",87,"Australia and Oceania"
"Egypt","egypt","16.8","2024",88,"Africa"
"Korea, North","korea-north","15.4","2024",89,"East and Southeast Asia"
"Honduras","honduras","15.4","2024",90,"Central America and the Caribbean"
"Gaza Strip","gaza-strip","15.1","2024",91,"Middle East"
"Syria","syria","15.1","2024",92,"Middle East"
"West Bank","west-bank","15.1","2024",93,"Middle East"
"Trinidad and Tobago","trinidad-and-tobago","15.1","2024",94,"Central America and the Caribbean"
"Cook Islands","cook-islands","15.1","2024",95,"Australia and Oceania"
"Nicaragua","nicaragua","14.4","2024",96,"Central America and the Caribbean"
"Iran","iran","14.3","2024",97,"Middle East"
"Panama","panama","14.2","2024",98,"Central America and the Caribbean"
"Vietnam","vietnam","14.1","2024",99,"East and Southeast Asia"
"Oman","oman","13.9","2024",100,"Middle East"
"Venezuela","venezuela","13.9","2024",101,"South America"
"Moldova","moldova","13.8","2024",102,"Europe"
"Vanuatu","vanuatu","13.7","2024",103,"Australia and Oceania"
"Antigua and Barbuda","antigua-and-barbuda","13.6","2024",104,"Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","13.4","2024",105,"Central America and the Caribbean"
"Jordan","jordan","13.2","2024",106,"Middle East"
"Brazil","brazil","12.9","2024",107,"South America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","12.3","2024",108,"Central America and the Caribbean"
"Mexico","mexico","12.1","2024",109,"North America"
"Northern Mariana Islands","northern-mariana-islands","11.9","2024",110,"Australia and Oceania"
"Tonga","tonga","11.8","2024",111,"Australia and Oceania"
"El Salvador","el-salvador","11.7","2024",112,"Central America and the Caribbean"
"Saudi Arabia","saudi-arabia","11.7","2024",113,"Middle East"
"Colombia","colombia","11.7","2024",114,"South America"
"Armenia","armenia","11.6","2024",115,"Middle East"
"Mauritius","mauritius","11.6","2024",116,"Africa"
"Aruba","aruba","11.5","2024",117,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","11.5","2024",118,"Central America and the Caribbean"
"Tunisia","tunisia","11.3","2024",119,"Africa"
"Belize","belize","11.3","2024",120,"Central America and the Caribbean"
"Ecuador","ecuador","11.2","2024",121,"South America"
"Turks and Caicos Islands","turks-and-caicos-islands","11.1","2024",122,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","10.9","2024",123,"Middle East"
"Guam","guam","10.9","2024",124,"Australia and Oceania"
"Peru","peru","10.8","2024",125,"South America"
"Palau","palau","10.8","2024",126,"Australia and Oceania"
"Dominica","dominica","10.7","2024",127,"Central America and the Caribbean"
"Libya","libya","10.7","2024",128,"Africa"
"Jamaica","jamaica","10.7","2024",129,"Central America and the Caribbean"
"Albania","albania","10.3","2024",130,"Europe"
"Seychelles","seychelles","10.2","2024",131,"Africa"
"Brunei","brunei","10","2024",132,"East and Southeast Asia"
"Fiji","fiji","9.7","2024",133,"Australia and Oceania"
"Montserrat","montserrat","9.7","2024",134,"Central America and the Caribbean"
"Bahrain","bahrain","9.7","2024",135,"Middle East"
"American Samoa","american-samoa","9.7","2024",136,"Australia and Oceania"
"Barbados","barbados","9.6","2024",137,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","9.4","2024",138,"Central America and the Caribbean"
"Grenada","grenada","9","2024",139,"Central America and the Caribbean"
"Argentina","argentina","9","2024",140,"South America"
"Ukraine","ukraine","8.7","2024",141,"Europe"
"Greenland","greenland","8.5","2024",142,"North America"
"Croatia","croatia","8.4","2024",143,"Europe"
"Cyprus","cyprus","8.1","2024",144,"Europe"
"Uruguay","uruguay","8","2024",145,"South America"
"Kazakhstan","kazakhstan","8","2024",146,"Central Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","8","2024",147,"Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","7.8","2024",148,"North America"
"Bulgaria","bulgaria","7.7","2024",149,"Europe"
"Sint Maarten","sint-maarten","7.6","2024",150,"Central America and the Caribbean"
"Nauru","nauru","7.6","2024",151,"Australia and Oceania"
"Curacao","curacao","7.5","2024",152,"Central America and the Caribbean"
"Virgin Islands","virgin-islands","7.3","2024",153,"Central America and the Caribbean"
"Cayman Islands","cayman-islands","7.3","2024",154,"Central America and the Caribbean"
"Kuwait","kuwait","7.2","2024",155,"Middle East"
"North Macedonia","north-macedonia","7","2024",156,"Europe"
