name,slug,%,date_of_information,ranking,region
"South Sudan","south-sudan","4.65","2024",1,"Africa"
"Niger","niger","3.66","2024",2,"Africa"
"Angola","angola","3.33","2024",3,"Africa"
"Benin","benin","3.29","2024",4,"Africa"
"Equatorial Guinea","equatorial-guinea","3.23","2024",5,"Africa"
"Uganda","uganda","3.18","2024",6,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","3.11","2024",7,"Africa"
"Chad","chad","3.01","2024",8,"Africa"
"Mali","mali","2.9","2024",9,"Africa"
"Zambia","zambia","2.83","2024",10,"Africa"
"Burundi","burundi","2.81","2024",11,"Africa"
"Guinea","guinea","2.74","2024",12,"Africa"
"Tanzania","tanzania","2.72","2024",13,"Africa"
"Cameroon","cameroon","2.71","2024",14,"Africa"
"Somalia","somalia","2.55","2024",15,"Africa"
"Sudan","sudan","2.55","2024",16,"Africa"
"Mozambique","mozambique","2.54","2024",17,"Africa"
"Guinea-Bissau","guinea-bissau","2.54","2024",18,"Africa"
"Nigeria","nigeria","2.52","2024",19,"Africa"
"Senegal","senegal","2.46","2024",20,"Africa"
"Togo","togo","2.41","2024",21,"Africa"
"Burkina Faso","burkina-faso","2.4","2024",22,"Africa"
"Congo, Republic of the","congo-republic-of-the","2.38","2024",23,"Africa"
"Ukraine","ukraine","2.38","2024",24,"Europe"
"Gabon","gabon","2.37","2024",25,"Africa"
"Ethiopia","ethiopia","2.37","2024",26,"Africa"
"Venezuela","venezuela","2.34","2024",27,"South America"
"Liberia","liberia","2.32","2024",28,"Africa"
"Sierra Leone","sierra-leone","2.32","2024",29,"Africa"
"Papua New Guinea","papua-new-guinea","2.26","2024",30,"East and Southeast Asia"
"Malawi","malawi","2.22","2024",31,"Africa"
"Afghanistan","afghanistan","2.22","2024",32,"South Asia"
"Madagascar","madagascar","2.18","2024",33,"Africa"
"Gambia, The","gambia-the","2.16","2024",34,"Africa"
"Ghana","ghana","2.15","2024",35,"Africa"
"Cote d'Ivoire","cote-divoire","2.13","2024",36,"Africa"
"West Bank","west-bank","2.07","2024",37,"Middle East"
"Kenya","kenya","2.06","2024",38,"Africa"
"Timor-Leste","timor-leste","2.04","2024",39,"East and Southeast Asia"
"Gaza Strip","gaza-strip","2.02","2024",40,"Middle East"
"Iraq","iraq","1.99","2024",41,"Middle East"
"Tajikistan","tajikistan","1.92","2024",42,"Central Asia"
"Mauritania","mauritania","1.92","2024",43,"Africa"
"Zimbabwe","zimbabwe","1.91","2024",44,"Africa"
"Djibouti","djibouti","1.89","2024",45,"Africa"
"Pakistan","pakistan","1.86","2024",46,"South Asia"
"British Virgin Islands","british-virgin-islands","1.82","2024",47,"Central America and the Caribbean"
"Yemen","yemen","1.78","2024",48,"Middle East"
"Turks and Caicos Islands","turks-and-caicos-islands","1.77","2024",49,"Central America and the Caribbean"
"Central African Republic","central-african-republic","1.76","2024",50,"Africa"
"Cayman Islands","cayman-islands","1.75","2024",51,"Central America and the Caribbean"
"Oman","oman","1.75","2024",52,"Middle East"
"Anguilla","anguilla","1.74","2024",53,"Central America and the Caribbean"
"Namibia","namibia","1.72","2024",54,"Africa"
"Saudi Arabia","saudi-arabia","1.68","2024",55,"Middle East"
"Syria","syria","1.67","2024",56,"Middle East"
"Solomon Islands","solomon-islands","1.65","2024",57,"Australia and Oceania"
"Rwanda","rwanda","1.62","2024",58,"Africa"
"Israel","israel","1.58","2024",59,"Middle East"
"Philippines","philippines","1.56","2024",60,"East and Southeast Asia"
"Vanuatu","vanuatu","1.55","2024",61,"Australia and Oceania"
"Algeria","algeria","1.54","2024",62,"Africa"
"Luxembourg","luxembourg","1.52","2024",63,"Europe"
"Guatemala","guatemala","1.49","2024",64,"Central America and the Caribbean"
"Egypt","egypt","1.49","2024",65,"Africa"
"Panama","panama","1.48","2024",66,"Central America and the Caribbean"
"Belize","belize","1.47","2024",67,"Central America and the Caribbean"
"Libya","libya","1.44","2024",68,"Africa"
"Uzbekistan","uzbekistan","1.43","2024",69,"Central Asia"
"Sao Tome and Principe","sao-tome-and-principe","1.42","2024",70,"Africa"
"Brunei","brunei","1.4","2024",71,"East and Southeast Asia"
"Botswana","botswana","1.34","2024",72,"Africa"
"Comoros","comoros","1.3","2024",73,"Africa"
"Honduras","honduras","1.29","2024",74,"Central America and the Caribbean"
"Laos","laos","1.26","2024",75,"East and Southeast Asia"
"Marshall Islands","marshall-islands","1.26","2024",76,"Australia and Oceania"
"Haiti","haiti","1.23","2024",77,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","1.16","2024",78,"Africa"
"Sint Maarten","sint-maarten","1.15","2024",79,"Central America and the Caribbean"
"New Caledonia","new-caledonia","1.14","2024",80,"Australia and Oceania"
"Australia","australia","1.13","2024",81,"Australia and Oceania"
"Eritrea","eritrea","1.12","2024",82,"Africa"
