name,slug, children born/woman,date_of_information,ranking,region
"Niger","niger","6.64","2024",1,"Africa"
"Angola","angola","5.7","2024",2,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","5.49","2024",3,"Africa"
"Mali","mali","5.35","2024",4,"Africa"
"Benin","benin","5.34","2024",5,"Africa"
"Chad","chad","5.24","2024",6,"Africa"
"Uganda","uganda","5.17","2024",7,"Africa"
"Somalia","somalia","5.12","2024",8,"Africa"
"South Sudan","south-sudan","5.09","2024",9,"Africa"
"Burundi","burundi","4.9","2024",10,"Africa"
"Guinea","guinea","4.78","2024",11,"Africa"
"Mozambique","mozambique","4.66","2024",12,"Africa"
"Guinea-Bissau","guinea-bissau","4.62","2024",13,"Africa"
"Nigeria","nigeria","4.52","2024",14,"Africa"
"Sudan","sudan","4.47","2024",15,"Africa"
"Cameroon","cameroon","4.44","2024",16,"Africa"
"Afghanistan","afghanistan","4.43","2024",17,"South Asia"
"Zambia","zambia","4.42","2024",18,"Africa"
"Tanzania","tanzania","4.27","2024",19,"Africa"
"Togo","togo","4.13","2024",20,"Africa"
"Equatorial Guinea","equatorial-guinea","4.12","2024",21,"Africa"
"Senegal","senegal","4.06","2024",22,"Africa"
"Burkina Faso","burkina-faso","4.02","2024",23,"Africa"
"Timor-Leste","timor-leste","3.98","2024",24,"East and Southeast Asia"
"Central African Republic","central-african-republic","3.94","2024",25,"Africa"
"Liberia","liberia","3.93","2024",26,"Africa"
"Ethiopia","ethiopia","3.84","2024",27,"Africa"
"Papua New Guinea","papua-new-guinea","3.79","2024",28,"East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","3.79","2024",29,"Africa"
"Sierra Leone","sierra-leone","3.61","2024",30,"Africa"
"Tajikistan","tajikistan","3.56","2024",31,"Central Asia"
"Ghana","ghana","3.56","2024",32,"Africa"
"Gambia, The","gambia-the","3.52","2024",33,"Africa"
"West Bank","west-bank","3.49","2024",34,"Middle East"
"Madagascar","madagascar","3.47","2024",35,"Africa"
"Zimbabwe","zimbabwe","3.47","2024",36,"Africa"
"Eritrea","eritrea","3.43","2024",37,"Africa"
"Mauritania","mauritania","3.4","2024",38,"Africa"
"Cote d'Ivoire","cote-divoire","3.4","2024",39,"Africa"
"Pakistan","pakistan","3.32","2024",40,"South Asia"
"Sao Tome and Principe","sao-tome-and-principe","3.31","2024",41,"Africa"
"Gaza Strip","gaza-strip","3.26","2024",42,"Middle East"
"Gabon","gabon","3.21","2024",43,"Africa"
"Malawi","malawi","3.19","2024",44,"Africa"
"Kenya","kenya","3.16","2024",45,"Africa"
"Rwanda","rwanda","3.14","2024",46,"Africa"
"Iraq","iraq","3.1","2024",47,"Middle East"
"Libya","libya","3","2024",48,"Africa"
"Algeria","algeria","2.94","2024",49,"Africa"
"Israel","israel","2.92","2024",50,"Middle East"
"Namibia","namibia","2.89","2024",51,"Africa"
"Jordan","jordan","2.87","2024",52,"Middle East"
"Lesotho","lesotho","2.85","2024",53,"Africa"
"Yemen","yemen","2.82","2024",54,"Middle East"
"Tuvalu","tuvalu","2.78","2024",55,"Australia and Oceania"
"Solomon Islands","solomon-islands","2.77","2024",56,"Australia and Oceania"
"Uzbekistan","uzbekistan","2.76","2024",57,"Central Asia"
"Philippines","philippines","2.75","2024",58,"East and Southeast Asia"
"Guam","guam","2.73","2024",59,"Australia and Oceania"
"Syria","syria","2.69","2024",60,"Middle East"
"Marshall Islands","marshall-islands","2.67","2024",61,"Australia and Oceania"
"Tonga","tonga","2.65","2024",62,"Australia and Oceania"
"Egypt","egypt","2.65","2024",63,"Africa"
"Oman","oman","2.64","2024",64,"Middle East"
"Comoros","comoros","2.61","2024",65,"Africa"
"Kazakhstan","kazakhstan","2.58","2024",66,"Central Asia"
"Northern Mariana Islands","northern-mariana-islands","2.56","2024",67,"Australia and Oceania"
"Nauru","nauru","2.55","2024",68,"Australia and Oceania"
"Vanuatu","vanuatu","2.53","2024",69,"Australia and Oceania"
"Guatemala","guatemala","2.52","2024",70,"Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","2.45","2024",71,"Central Asia"
"Haiti","haiti","2.44","2024",72,"Central America and the Caribbean"
"Eswatini","eswatini","2.37","2024",73,"Africa"
"Panama","panama","2.35","2024",74,"Central America and the Caribbean"
"Botswana","botswana","2.34","2024",75,"Africa"
"Honduras","honduras","2.33","2024",76,"Central America and the Caribbean"
