name,slug, kW,date_of_information,ranking,region
"China","china","2,594,000,000","2022",1,"East and Southeast Asia"
"United States","united-states","1,201,000,000","2022",2,"North America"
"India","india","487,407,000","2022",3,"South Asia"
"Japan","japan","349,940,000","2022",4,"East and Southeast Asia"
"Russia","russia","301,123,000","2022",5,"Central Asia"
"Germany","germany","261,086,000","2022",6,"Europe"
"Brazil","brazil","220,319,000","2022",7,"South America"
"Canada","canada","158,973,000","2022",8,"North America"
"France","france","148,914,000","2022",9,"Europe"
"Korea, South","korea-south","146,539,000","2022",10,"East and Southeast Asia"
"Italy","italy","123,327,000","2022",11,"Europe"
"Spain","spain","118,141,000","2022",12,"Europe"
"United Kingdom","united-kingdom","111,020,000","2022",13,"Europe"
"Mexico","mexico","104,318,000","2022",14,"North America"
"Turkey (Turkiye)","turkey-turkiye","103,817,000","2022",15,"Middle East"
"Australia","australia","101,350,000","2022",16,"Australia and Oceania"
"Vietnam","vietnam","85,040,000","2022",17,"East and Southeast Asia"
"Iran","iran","80,740,000","2022",18,"Middle East"
"Saudi Arabia","saudi-arabia","80,110,000","2022",19,"Middle East"
"Indonesia","indonesia","69,706,000","2022",20,"East and Southeast Asia"
"South Africa","south-africa","63,411,000","2022",21,"Africa"
"Taiwan","taiwan","61,944,000","2022",22,"East and Southeast Asia"
"Egypt","egypt","59,248,000","2022",23,"Africa"
"Poland","poland","58,719,000","2022",24,"Europe"
"Ukraine","ukraine","58,531,000","2022",25,"Europe"
"Thailand","thailand","57,216,000","2022",26,"East and Southeast Asia"
"Netherlands","netherlands","57,194,000","2022",27,"Europe"
"Sweden","sweden","52,706,000","2022",28,"Europe"
"Argentina","argentina","46,820,000","2022",29,"South America"
"Pakistan","pakistan","43,478,000","2022",30,"South Asia"
"Norway","norway","40,540,000","2022",31,"Europe"
"United Arab Emirates","united-arab-emirates","39,915,000","2022",32,"Middle East"
"Malaysia","malaysia","36,301,000","2022",33,"East and Southeast Asia"
"Chile","chile","35,598,000","2022",34,"South America"
"Venezuela","venezuela","34,742,000","2022",35,"South America"
"Iraq","iraq","31,339,000","2022",36,"Middle East"
"Austria","austria","29,810,000","2022",37,"Europe"
"Philippines","philippines","27,542,000","2022",38,"East and Southeast Asia"
"Belgium","belgium","26,310,000","2022",39,"Europe"
"Kazakhstan","kazakhstan","26,033,000","2022",40,"Central Asia"
"Finland","finland","24,784,000","2022",41,"Europe"
"Switzerland","switzerland","24,014,000","2022",42,"Europe"
"Portugal","portugal","23,316,000","2022",43,"Europe"
"Bangladesh","bangladesh","22,449,000","2022",44,"South Asia"
"Greece","greece","22,336,000","2022",45,"Europe"
"Israel","israel","22,207,000","2022",46,"Middle East"
"Czechia","czechia","21,914,000","2022",47,"Europe"
"Algeria","algeria","21,706,000","2022",48,"Africa"
"Kuwait","kuwait","20,250,000","2022",49,"Middle East"
"Denmark","denmark","19,503,000","2022",50,"Europe"
"Romania","romania","19,126,000","2022",51,"Europe"
"Colombia","colombia","18,896,000","2022",52,"South America"
"Uzbekistan","uzbekistan","16,926,000","2022",53,"Central Asia"
"Peru","peru","15,504,000","2022",54,"South America"
"Morocco","morocco","14,237,000","2022",55,"Africa"
"Hong Kong","hong-kong","13,388,000","2022",56,"East and Southeast Asia"
"Singapore","singapore","12,538,000","2022",57,"East and Southeast Asia"
"Laos","laos","12,222,000","2022",58,"East and Southeast Asia"
"Bulgaria","bulgaria","12,031,000","2022",59,"Europe"
"Hungary","hungary","11,995,000","2022",60,"Europe"
"Nigeria","nigeria","11,697,000","2022",61,"Africa"
"Ireland","ireland","11,530,000","2022",62,"Europe"
"Belarus","belarus","11,508,000","2022",63,"Europe"
"Qatar","qatar","11,414,000","2022",64,"Middle East"
"Libya","libya","10,517,000","2022",65,"Africa"
"New Zealand","new-zealand","10,412,000","2022",66,"Australia and Oceania"
"Syria","syria","10,124,000","2022",67,"Middle East"
"Oman","oman","9,129,000","2022",68,"Middle East"
"Paraguay","paraguay","8,833,000","2022",69,"South America"
"Ecuador","ecuador","8,377,000","2022",70,"South America"
