name,slug,value,date_of_information,ranking,region
"Germany","germany","$262,723,000,000","2023",1,"Europe"
"China","china","$252,987,000,000","2023",2,"East and Southeast Asia"
"Japan","japan","$150,691,000,000","2023",3,"East and Southeast Asia"
"Netherlands","netherlands","$112,952,000,000","2023",4,"Europe"
"Singapore","singapore","$99,128,000,000","2023",5,"East and Southeast Asia"
"Norway","norway","$86,368,000,000","2023",6,"Europe"
"Switzerland","switzerland","$67,821,000,000","2023",7,"Europe"
"Taiwan","taiwan","$65,173,000,000","2019",8,"East and Southeast Asia"
"Iraq","iraq","$58,010,000,000","2022",9,"Middle East"
"Ireland","ireland","$53,997,000,000","2023",10,"Europe"
"Kuwait","kuwait","$51,396,000,000","2023",11,"Middle East"
"Russia","russia","$50,224,000,000","2023",12,"Central Asia"
"Denmark","denmark","$44,195,000,000","2023",13,"Europe"
"Spain","spain","$41,094,000,000","2023",14,"Europe"
"Sweden","sweden","$40,073,000,000","2023",15,"Europe"
"Qatar","qatar","$36,470,000,000","2023",16,"Middle East"
"Korea, South","korea-south","$35,488,000,000","2023",17,"East and Southeast Asia"
"Hong Kong","hong-kong","$35,366,000,000","2023",18,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","$34,070,000,000","2023",19,"Middle East"
"United Arab Emirates","united-arab-emirates","$26,470,000,000","2017",20,"Middle East"
"Vietnam","vietnam","$25,090,000,000","2023",21,"East and Southeast Asia"
"Israel","israel","$25,089,000,000","2023",22,"Middle East"
"Australia","australia","$21,384,000,000","2023",23,"Australia and Oceania"
"Austria","austria","$13,686,000,000","2023",24,"Europe"
"Poland","poland","$12,689,000,000","2023",25,"Europe"
"Malaysia","malaysia","$12,271,000,000","2022",26,"East and Southeast Asia"
"Italy","italy","$11,552,000,000","2023",27,"Europe"
"Iran","iran","$9,491,000,000","2017",28,"Middle East"
"Azerbaijan","azerbaijan","$8,329,000,000","2023",29,"Middle East"
"Thailand","thailand","$7,002,000,000","2023",30,"East and Southeast Asia"
"Luxembourg","luxembourg","$5,826,000,000","2023",31,"Europe"
"Libya","libya","$5,675,000,000","2021",32,"Africa"
"Oman","oman","$5,652,000,000","2022",33,"Middle East"
"Algeria","algeria","$5,424,000,000","2023",34,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","$5,382,000,000","2022",35,"Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","$4,499,000,000","2021",36,"East and Southeast Asia"
"Bangladesh","bangladesh","$4,388,000,000","2023",37,"South Asia"
"Angola","angola","$4,210,000,000","2023",38,"Africa"
"Portugal","portugal","$3,974,000,000","2023",39,"Europe"
"Guinea","guinea","$3,350,000,000","2022",40,"Africa"
"Guatemala","guatemala","$3,281,000,000","2023",41,"Central America and the Caribbean"
"Brunei","brunei","$3,264,000,000","2022",42,"East and Southeast Asia"
"Slovenia","slovenia","$3,057,000,000","2023",43,"Europe"
"Macau","macau","$2,782,000,000","2022",44,"East and Southeast Asia"
"Bahrain","bahrain","$2,699,000,000","2023",45,"Middle East"
"Ecuador","ecuador","$2,291,000,000","2023",46,"South America"
"Peru","peru","$2,219,000,000","2023",47,"South America"
"Congo, Republic of the","congo-republic-of-the","$1,716,000,000","2021",48,"Africa"
"Sri Lanka","sri-lanka","$1,559,000,000","2023",49,"South Asia"
"Lithuania","lithuania","$1,506,000,000","2023",50,"Europe"
"Nicaragua","nicaragua","$1,381,000,000","2023",51,"Central America and the Caribbean"
"Czechia","czechia","$1,281,000,000","2023",52,"Europe"
