name,slug,value,date_of_information,ranking,region
"China","china","$408,967,000,000","2022",1,"East and Southeast Asia"
"Mexico","mexico","$286,005,000,000","2022",2,"North America"
"India","india","$186,653,000,000","2022",3,"South Asia"
"Brazil","brazil","$164,448,000,000","2022",4,"South America"
"Russia","russia","$135,301,000,000","2022",5,"Central Asia"
"Turkey (Turkiye)","turkey-turkiye","$133,882,000,000","2022",6,"Middle East"
"Colombia","colombia","$97,915,000,000","2022",7,"South America"
"Egypt","egypt","$97,500,000,000","2022",8,"Africa"
"Argentina","argentina","$77,880,000,000","2022",9,"South America"
"Pakistan","pakistan","$74,852,000,000","2022",10,"South Asia"
"Bangladesh","bangladesh","$53,630,000,000","2022",11,"South Asia"
"South Africa","south-africa","$53,430,000,000","2022",12,"Africa"
"Angola","angola","$46,549,000,000","2022",13,"Africa"
"Ecuador","ecuador","$39,129,000,000","2022",14,"South America"
"Lebanon","lebanon","$38,856,000,000","2022",15,"Middle East"
"Nigeria","nigeria","$37,911,000,000","2022",16,"Africa"
"Sri Lanka","sri-lanka","$37,487,000,000","2022",17,"South Asia"
"Peru","peru","$37,467,000,000","2022",18,"South America"
"Morocco","morocco","$36,290,000,000","2022",19,"Africa"
"Thailand","thailand","$35,388,000,000","2022",20,"East and Southeast Asia"
"Kenya","kenya","$31,029,000,000","2022",21,"Africa"
"Cote d'Ivoire","cote-divoire","$23,623,000,000","2022",22,"Africa"
"Kazakhstan","kazakhstan","$22,643,000,000","2022",23,"Central Asia"
"Uzbekistan","uzbekistan","$22,305,000,000","2022",24,"Central Asia"
"Ethiopia","ethiopia","$21,522,000,000","2022",25,"Africa"
"Sudan","sudan","$19,642,000,000","2022",26,"Africa"
"Tunisia","tunisia","$18,169,000,000","2022",27,"Africa"
"Jordan","jordan","$16,293,000,000","2022",28,"Middle East"
"Tanzania","tanzania","$15,913,000,000","2022",29,"Africa"
"Iraq","iraq","$15,065,000,000","2022",30,"Middle East"
"Bulgaria","bulgaria","$14,277,000,000","2022",31,"Europe"
"Costa Rica","costa-rica","$12,877,000,000","2022",32,"Central America and the Caribbean"
"Senegal","senegal","$12,652,000,000","2022",33,"Africa"
"Azerbaijan","azerbaijan","$12,319,000,000","2022",34,"Middle East"
"Paraguay","paraguay","$12,118,000,000","2022",35,"South America"
"El Salvador","el-salvador","$11,276,000,000","2022",36,"Central America and the Caribbean"
"Guatemala","guatemala","$10,336,000,000","2022",37,"Central America and the Caribbean"
"Bolivia","bolivia","$9,862,000,000","2022",38,"South America"
"Uganda","uganda","$9,636,000,000","2022",39,"Africa"
"Cameroon","cameroon","$9,612,000,000","2022",40,"Africa"
"Jamaica","jamaica","$9,148,000,000","2022",41,"Central America and the Caribbean"
"Mongolia","mongolia","$9,085,000,000","2022",42,"East and Southeast Asia"
"Honduras","honduras","$7,611,000,000","2022",43,"Central America and the Caribbean"
"Georgia","georgia","$6,976,000,000","2022",44,"Middle East"
"Congo, Republic of the","congo-republic-of-the","$6,482,000,000","2022",45,"Africa"
"Papua New Guinea","papua-new-guinea","$6,350,000,000","2022",46,"East and Southeast Asia"
"Nicaragua","nicaragua","$6,106,000,000","2022",47,"Central America and the Caribbean"
"Gabon","gabon","$6,060,000,000","2022",48,"Africa"
"Armenia","armenia","$6,028,000,000","2022",49,"Middle East"
"Yemen","yemen","$5,687,000,000","2022",50,"Middle East"
"Nepal","nepal","$5,677,000,000","2022",51,"South Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$5,383,000,000","2022",52,"Africa"
"Benin","benin","$5,328,000,000","2022",53,"Africa"
"Albania","albania","$4,624,000,000","2022",54,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$4,521,000,000","2022",55,"Europe"
"Rwanda","rwanda","$4,254,000,000","2022",56,"Africa"
"Mali","mali","$3,923,000,000","2022",57,"Africa"
"Turkmenistan","turkmenistan","$3,729,000,000","2022",58,"Central Asia"
"Niger","niger","$3,688,000,000","2022",59,"Africa"
"Syria","syria","$3,619,000,000","2022",60,"Middle East"
"Kyrgyzstan","kyrgyzstan","$3,457,000,000","2022",61,"Central Asia"
"Montenegro","montenegro","$3,401,000,000","2022",62,"Europe"
"Guinea","guinea","$3,329,000,000","2022",63,"Africa"
"Burkina Faso","burkina-faso","$3,234,000,000","2022",64,"Africa"
"Mauritania","mauritania","$3,172,000,000","2022",65,"Africa"
"Madagascar","madagascar","$2,972,000,000","2022",66,"Africa"
"Mauritius","mauritius","$2,827,000,000","2022",67,"Africa"
"Bhutan","bhutan","$2,514,000,000","2022",68,"South Asia"
"Chad","chad","$2,352,000,000","2022",69,"Africa"
"Djibouti","djibouti","$2,331,000,000","2022",70,"Africa"
"Malawi","malawi","$1,971,000,000","2022",71,"Africa"
"Moldova","moldova","$1,899,000,000","2022",72,"Europe"
"Haiti","haiti","$1,645,000,000","2022",73,"Central America and the Caribbean"
"Guyana","guyana","$1,631,000,000","2022",74,"South America"
"Botswana","botswana","$1,507,000,000","2022",75,"Africa"
"Togo","togo","$1,462,000,000","2022",76,"Africa"
"Cabo Verde","cabo-verde","$1,460,000,000","2022",77,"Africa"
"Fiji","fiji","$1,235,000,000","2022",78,"Australia and Oceania"
"Belize","belize","$1,176,000,000","2022",79,"Central America and the Caribbean"
"Sierra Leone","sierra-leone","$1,072,000,000","2022",80,"Africa"
"Liberia","liberia","$835,846,000","2022",81,"Africa"
"Lesotho","lesotho","$830,976,000","2022",82,"Africa"
"Guinea-Bissau","guinea-bissau","$808,187,000","2022",83,"Africa"
"Eswatini","eswatini","$758,868,000","2022",84,"Africa"
"Gambia, The","gambia-the","$696,707,000","2022",85,"Africa"
"Saint Lucia","saint-lucia","$687,824,000","2022",86,"Central America and the Caribbean"
"Algeria","algeria","$671,248,000","2022",87,"Africa"
"Central African Republic","central-african-republic","$552,586,000","2022",88,"Africa"
"Eritrea","eritrea","$471,009,000","2022",89,"Africa"
"Grenada","grenada","$458,369,000","2022",90,"Central America and the Caribbean"
"Burundi","burundi","$444,292,000","2022",91,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$414,492,000","2022",92,"Central America and the Caribbean"
"Vanuatu","vanuatu","$295,759,000","2022",93,"Australia and Oceania"
"Afghanistan","afghanistan","$284,000,000","FY10/11",94,"South Asia"
"Dominica","dominica","$282,847,000","2022",95,"Central America and the Caribbean"
"Samoa","samoa","$279,335,000","2022",96,"Australia and Oceania"
"Iran","iran","$269,852,000","2022",97,"Middle East"
"Sao Tome and Principe","sao-tome-and-principe","$249,404,000","2022",98,"Africa"
"Comoros","comoros","$233,947,000","2022",99,"Africa"
"Timor-Leste","timor-leste","$207,551,000","2022",100,"East and Southeast Asia"
"Tonga","tonga","$152,877,000","2022",101,"Australia and Oceania"
"Solomon Islands","solomon-islands","$117,742,000","2022",102,"Australia and Oceania"
