name,slug,%,date_of_information,ranking,region
"Sierra Leone","sierra-leone","64.4","2023",1,"Africa"
"Niger","niger","47.8","2023",2,"Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","41","2015",3,"South America"
"Comoros","comoros","37.2","2023",4,"Africa"
"Mali","mali","36.8","2023",5,"Africa"
"Ethiopia","ethiopia","35.8","2023",6,"Africa"
"Liberia","liberia","34.9","2023",7,"Africa"
"Solomon Islands","solomon-islands","33.8","2022",8,"Australia and Oceania"
"Afghanistan","afghanistan","33.7","2022",9,"South Asia"
"Guinea-Bissau","guinea-bissau","33.7","2023",10,"Africa"
"Yemen","yemen","28.7","2018",11,"Middle East"
"Central African Republic","central-african-republic","28.6","2023",12,"Africa"
"Guinea","guinea","28.2","2023",13,"Africa"
"Syria","syria","27.8","2021",14,"Middle East"
"Rwanda","rwanda","27.1","2023",15,"Africa"
"Zimbabwe","zimbabwe","27","2023",16,"Africa"
"Mozambique","mozambique","26.7","2022",17,"Africa"
"Benin","benin","25.4","2023",18,"Africa"
"Burundi","burundi","25.2","2023",19,"Africa"
"Chad","chad","25.1","2023",20,"Africa"
"Gambia, The","gambia-the","24.6","2023",21,"Africa"
"Uganda","uganda","23.8","2023",22,"Africa"
"Tanzania","tanzania","23.7","2023",23,"Africa"
"Pakistan","pakistan","23.4","2023",24,"South Asia"
"Kiribati","kiribati","23","2016",25,"Australia and Oceania"
"Uzbekistan","uzbekistan","23","2023",26,"Central Asia"
"Tajikistan","tajikistan","22.9","2022",27,"Central Asia"
"Nigeria","nigeria","22.7","2023",28,"Africa"
"Korea, North","korea-north","22.5","2017",29,"East and Southeast Asia"
"Micronesia, Federated States of","micronesia-federated-states-of","22.5","2023",30,"Australia and Oceania"
"Malawi","malawi","22.1","2023",31,"Africa"
"Cambodia","cambodia","21.5","2023",32,"East and Southeast Asia"
"Kenya","kenya","21.3","2023",33,"Africa"
"Vanuatu","vanuatu","21.2","2018",34,"Australia and Oceania"
"Nepal","nepal","21.2","2023",35,"South Asia"
"Madagascar","madagascar","21.1","2023",36,"Africa"
"Ghana","ghana","21.1","2023",37,"Africa"
"Marshall Islands","marshall-islands","20.6","2022",38,"Australia and Oceania"
"Burma","burma","20.4","2023",39,"East and Southeast Asia"
"Mauritania","mauritania","19.9","2023",40,"Africa"
"Faroe Islands","faroe-islands","18.7","2022",41,"Europe"
"Albania","albania","18.3","2023",42,"Europe"
"Haiti","haiti","18.2","2023",43,"Central America and the Caribbean"
"Togo","togo","18.1","2023",44,"Africa"
"Greenland","greenland","17.5","2021",45,"North America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","17.4","2023",46,"Africa"
"Papua New Guinea","papua-new-guinea","16.9","2022",47,"East and Southeast Asia"
"Cameroon","cameroon","16.7","2023",48,"Africa"
"Senegal","senegal","16.4","2023",49,"Africa"
"Tonga","tonga","16.3","2021",50,"Australia and Oceania"
"Burkina Faso","burkina-faso","16.3","2023",51,"Africa"
"Laos","laos","16.1","2023",52,"East and Southeast Asia"
"India","india","16","2023",53,"South Asia"
"Tuvalu","tuvalu","15.9","2015",54,"Australia and Oceania"
"Nicaragua","nicaragua","15.3","2023",55,"Central America and the Caribbean"
"Angola","angola","14.9","2023",56,"Africa"
"Dominica","dominica","14.8","2023",57,"Central America and the Caribbean"
"Bhutan","bhutan","14.7","2022",58,"South Asia"
"Cote d'Ivoire","cote-divoire","14.4","2023",59,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","13.9","2022",60,"Africa"
"Algeria","algeria","13.2","2023",61,"Africa"
"Iran","iran","13","2023",62,"Middle East"
"Bolivia","bolivia","12.5","2023",63,"South America"
"Indonesia","indonesia","12.5","2023",64,"East and Southeast Asia"
"Morocco","morocco","12","2023",65,"Africa"
"Honduras","honduras","12","2023",66,"Central America and the Caribbean"
"Vietnam","vietnam","12","2023",67,"East and Southeast Asia"
"Eritrea","eritrea","11.7","2017",68,"Africa"
"Turkmenistan","turkmenistan","11.6","2022",69,"Central Asia"
"Paraguay","paraguay","11.3","2023",70,"South America"
"Samoa","samoa","11","2023",71,"Australia and Oceania"
"Bangladesh","bangladesh","11","2023",72,"South Asia"
"Egypt","egypt","10.6","2023",73,"Africa"
"South Sudan","south-sudan","10.4","2015",74,"Africa"
"Mongolia","mongolia","10.2","2023",75,"East and Southeast Asia"
"Timor-Leste","timor-leste","10.2","2022",76,"East and Southeast Asia"
"Guyana","guyana","10","2022",77,"South America"
"Kyrgyzstan","kyrgyzstan","9.7","2023",78,"Central Asia"
"Tunisia","tunisia","9.5","2023",79,"Africa"
"Philippines","philippines","9.4","2023",80,"East and Southeast Asia"
"Guatemala","guatemala","9.2","2023",81,"Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","9","2023",82,"Africa"
"Jamaica","jamaica","9","2023",83,"Central America and the Caribbean"
"Belize","belize","9","2023",84,"Central America and the Caribbean"
"Colombia","colombia","8.7","2023",85,"South America"
"Thailand","thailand","8.6","2023",86,"East and Southeast Asia"
"Armenia","armenia","8.4","2023",87,"Middle East"
"Sri Lanka","sri-lanka","8.3","2023",88,"South Asia"
"Fiji","fiji","8.3","2023",89,"Australia and Oceania"
"Eswatini","eswatini","8.1","2023",90,"Africa"
"Suriname","suriname","8.1","2022",91,"South America"
"Kosovo","kosovo","7.8","2023",92,"Europe"
"Namibia","namibia","7.7","2023",93,"Africa"
"Malaysia","malaysia","7.7","2023",94,"East and Southeast Asia"
"Ecuador","ecuador","7.7","2023",95,"South America"
"Moldova","moldova","7.6","2023",96,"Europe"
"Ukraine","ukraine","7.4","2023",97,"Europe"
"Belarus","belarus","7.3","2023",98,"Europe"
"China","china","7.1","2023",99,"East and Southeast Asia"
"Peru","peru","7.1","2022",100,"South America"
"North Macedonia","north-macedonia","7","2023",101,"Europe"
"Dominican Republic","dominican-republic","6.4","2023",102,"Central America and the Caribbean"
"Lesotho","lesotho","6.3","2023",103,"Africa"
"Brazil","brazil","6.2","2023",104,"South America"
"Turkey (Turkiye)","turkey-turkiye","6.2","2023",105,"Middle East"
"Argentina","argentina","6.1","2023",106,"South America"
"Georgia","georgia","6","2023",107,"Middle East"
"Gabon","gabon","5.8","2023",108,"Africa"
"New Zealand","new-zealand","5.8","2021",109,"Australia and Oceania"
"Gaza Strip","gaza-strip","5.7","2022",110,"Middle East"
"West Bank","west-bank","5.7","2022",111,"Middle East"
"Montenegro","montenegro","5.6","2023",112,"Europe"
"Uruguay","uruguay","5.6","2023",113,"South America"
"Sudan","sudan","5.6","2023",114,"Africa"
"Azerbaijan","azerbaijan","5.5","2023",115,"Middle East"
"Serbia","serbia","5.2","2023",116,"Europe"
"Venezuela","venezuela","5","2014",117,"South America"
"Maldives","maldives","4.9","2022",118,"South Asia"
"Jordan","jordan","4.8","2023",119,"Middle East"
"Hungary","hungary","4.7","2023",120,"Europe"
"El Salvador","el-salvador","4.6","2023",121,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","4.5","2023",122,"Africa"
"Kazakhstan","kazakhstan","4.3","2023",123,"Central Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","4.3","2023",124,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","4.2","2023",125,"Central America and the Caribbean"
"Latvia","latvia","4.2","2023",126,"Europe"
"Mexico","mexico","4","2023",127,"North America"
"Iceland","iceland","3.9","2023",128,"Europe"
"Romania","romania","3.9","2023",129,"Europe"
"Mauritius","mauritius","3.8","2023",130,"Africa"
"Greece","greece","3.8","2023",131,"Europe"
"Costa Rica","costa-rica","3.8","2023",132,"Central America and the Caribbean"
"Chile","chile","3.5","2023",133,"South America"
"Palau","palau","3.4","2022",134,"Australia and Oceania"
"Russia","russia","3.3","2023",135,"Central Asia"
"Grenada","grenada","3.3","2023",136,"Central America and the Caribbean"
"Lithuania","lithuania","3","2023",137,"Europe"
"Bulgaria","bulgaria","3","2023",138,"Europe"
"Anguilla","anguilla","3","2017",139,"Central America and the Caribbean"
"Croatia","croatia","3","2023",140,"Europe"
"Poland","poland","2.9","2023",141,"Europe"
"Equatorial Guinea","equatorial-guinea","2.9","2023",142,"Africa"
"Seychelles","seychelles","2.8","2023",143,"Africa"
"Iraq","iraq","2.8","2023",144,"Middle East"
"Zambia","zambia","2.8","2023",145,"Africa"
"Saudi Arabia","saudi-arabia","2.7","2023",146,"Middle East"
"Finland","finland","2.5","2023",147,"Europe"
"South Africa","south-africa","2.5","2023",148,"Africa"
"Panama","panama","2.4","2023",149,"Central America and the Caribbean"
"Australia","australia","2.4","2023",150,"Australia and Oceania"
"Spain","spain","2.3","2023",151,"Europe"
"French Polynesia","french-polynesia","2.3","2019",152,"Australia and Oceania"
"Estonia","estonia","2.2","2023",153,"Europe"
"Norway","norway","2.1","2023",154,"Europe"
"Portugal","portugal","2","2023",155,"Europe"
"Slovakia","slovakia","2","2023",156,"Europe"
"France","france","1.9","2023",157,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","1.9","2023",158,"Central America and the Caribbean"
"Slovenia","slovenia","1.9","2023",159,"Europe"
"Italy","italy","1.9","2023",160,"Europe"
"Montserrat","montserrat","1.9","2017",161,"Central America and the Caribbean"
"New Caledonia","new-caledonia","1.8","2019",162,"Australia and Oceania"
"Djibouti","djibouti","1.8","2023",163,"Africa"
"Oman","oman","1.8","2022",164,"Middle East"
"Taiwan","taiwan","1.8","2017",165,"East and Southeast Asia"
"Canada","canada","1.8","2020",166,"North America"
"Northern Mariana Islands","northern-mariana-islands","1.7","2016",167,"Australia and Oceania"
"Korea, South","korea-south","1.6","2023",168,"East and Southeast Asia"
"Czechia","czechia","1.6","2023",169,"Europe"
"Sweden","sweden","1.6","2023",170,"Europe"
"Cyprus","cyprus","1.6","2023",171,"Europe"
"Botswana","botswana","1.6","2023",172,"Africa"
"Libya","libya","1.6","2023",173,"Africa"
"Netherlands","netherlands","1.5","2023",174,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.4","2023",175,"Central America and the Caribbean"
"Barbados","barbados","1.4","2023",176,"Central America and the Caribbean"
"Israel","israel","1.3","2021",177,"Middle East"
"Austria","austria","1.3","2023",178,"Europe"
"Brunei","brunei","1.2","2023",179,"East and Southeast Asia"
"Lebanon","lebanon","1.1","2023",180,"Middle East"
"Trinidad and Tobago","trinidad-and-tobago","1.1","2022",181,"Central America and the Caribbean"
"Japan","japan","1","2022",182,"East and Southeast Asia"
"Denmark","denmark","1","2023",183,"Europe"
"Saint Lucia","saint-lucia","0.9","2023",184,"Central America and the Caribbean"
"United States","united-states","0.9","2021",185,"North America"
"Ireland","ireland","0.9","2023",186,"Europe"
"Jersey","jersey","0.8","2022",187,"Europe"
"United Arab Emirates","united-arab-emirates","0.8","2022",188,"Middle East"
"Guernsey","guernsey","0.8","2022",189,"Europe"
"Belgium","belgium","0.8","2023",190,"Europe"
"Cuba","cuba","0.8","2022",191,"Central America and the Caribbean"
"Malta","malta","0.7","2023",192,"Europe"
"United Kingdom","united-kingdom","0.7","2023",193,"Europe"
"Puerto Rico","puerto-rico","0.7","2023",194,"Central America and the Caribbean"
"Germany","germany","0.7","2023",195,"Europe"
"Switzerland","switzerland","0.6","2023",196,"Europe"
"Andorra","andorra","0.5","2023",197,"Europe"
"Cayman Islands","cayman-islands","0.5","2022",198,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","0.4","2023",199,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","0.4","2016",200,"Central America and the Caribbean"
"Kuwait","kuwait","0.4","2022",201,"Middle East"
"Curacao","curacao","0.3","2022",202,"Central America and the Caribbean"
"Bahrain","bahrain","0.3","2023",203,"Middle East"
"Isle of Man","isle-of-man","0.3","2021",204,"Europe"
"Qatar","qatar","0.3","2022",205,"Middle East"
"Bermuda","bermuda","0.2","2022",206,"North America"
"Liechtenstein","liechtenstein","0.2","2021",207,"Europe"
"British Virgin Islands","british-virgin-islands","0.2","2017",208,"Central America and the Caribbean"
"Luxembourg","luxembourg","0.2","2023",209,"Europe"
"Hong Kong","hong-kong","0.1","2022",210,"East and Southeast Asia"
"San Marino","san-marino","0","2021",211,"Europe"
"Aruba","aruba","0","2019",212,"Central America and the Caribbean"
"Singapore","singapore","0","2023",213,"East and Southeast Asia"
