name,slug,%,date_of_information,ranking,region
"Libya","libya","85","2023",1,"Africa"
"Guyana","guyana","67.8","2022",2,"South America"
"Kuwait","kuwait","67","2022",3,"Middle East"
"Qatar","qatar","65.4","2022",4,"Middle East"
"Brunei","brunei","61.8","2023",5,"East and Southeast Asia"
"Northern Mariana Islands","northern-mariana-islands","58.1","2016",6,"Australia and Oceania"
"Oman","oman","57","2022",7,"Middle East"
"Iraq","iraq","55.6","2023",8,"Middle East"
"Timor-Leste","timor-leste","53.8","2022",9,"East and Southeast Asia"
"Gabon","gabon","52.9","2023",10,"Africa"
"United Arab Emirates","united-arab-emirates","51.5","2022",11,"Middle East"
"Equatorial Guinea","equatorial-guinea","51.2","2023",12,"Africa"
"Puerto Rico","puerto-rico","49.1","2023",13,"Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","48.9","2022",14,"Central America and the Caribbean"
"Korea, North","korea-north","47.6","2017",15,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","47","2023",16,"Middle East"
"Zimbabwe","zimbabwe","46.9","2023",17,"Africa"
"Azerbaijan","azerbaijan","46.6","2023",18,"Middle East"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","46.5","2023",19,"Africa"
"Angola","angola","45.3","2023",20,"Africa"
"Congo, Republic of the","congo-republic-of-the","45.2","2023",21,"Africa"
"Suriname","suriname","44.8","2022",22,"South America"
"Bahrain","bahrain","44.5","2023",23,"Middle East"
"Chad","chad","44.4","2023",24,"Africa"
"Iran","iran","41.8","2023",25,"Middle East"
"Turkmenistan","turkmenistan","40.6","2022",26,"Central Asia"
"Papua New Guinea","papua-new-guinea","40.3","2022",27,"East and Southeast Asia"
"Liechtenstein","liechtenstein","40.2","2021",28,"Europe"
"Indonesia","indonesia","40.2","2023",29,"East and Southeast Asia"
"Mongolia","mongolia","40","2023",30,"East and Southeast Asia"
"Norway","norway","39","2023",31,"Europe"
"Cambodia","cambodia","38.5","2023",32,"East and Southeast Asia"
"China","china","38.3","2023",33,"East and Southeast Asia"
"Burma","burma","38.1","2023",34,"East and Southeast Asia"
"Algeria","algeria","38","2023",35,"Africa"
"Malaysia","malaysia","37.7","2023",36,"East and Southeast Asia"
"Ireland","ireland","37.6","2023",37,"Europe"
"Venezuela","venezuela","37.2","2014",38,"South America"
"Vietnam","vietnam","37.1","2023",39,"East and Southeast Asia"
"San Marino","san-marino","36.6","2021",40,"Europe"
"Zambia","zambia","36.1","2023",41,"Africa"
"Taiwan","taiwan","36","2017",42,"East and Southeast Asia"
"Peru","peru","35","2022",43,"South America"
"Tajikistan","tajikistan","34.7","2022",44,"Central Asia"
"Bangladesh","bangladesh","34.6","2023",45,"South Asia"
"Botswana","botswana","34.3","2023",46,"Africa"
"Eswatini","eswatini","33.5","2023",47,"Africa"
"South Sudan","south-sudan","33.1","2015",48,"Africa"
"Thailand","thailand","32.9","2023",49,"East and Southeast Asia"
"Egypt","egypt","32.7","2023",50,"Africa"
"Slovakia","slovakia","32.7","2023",51,"Europe"
"Nigeria","nigeria","32.6","2023",52,"Africa"
"Belarus","belarus","32.5","2023",53,"Europe"
"Paraguay","paraguay","32.4","2023",54,"South America"
"Kazakhstan","kazakhstan","32","2023",55,"Central Asia"
"Mexico","mexico","31.8","2023",56,"North America"
"Bhutan","bhutan","31.8","2022",57,"South Asia"
"Korea, South","korea-south","31.6","2023",58,"East and Southeast Asia"
"Guinea","guinea","31.3","2023",59,"Africa"
"Dominican Republic","dominican-republic","31.1","2023",60,"Central America and the Caribbean"
"Haiti","haiti","31","2023",61,"Central America and the Caribbean"
"Mauritania","mauritania","30.9","2023",62,"Africa"
"Russia","russia","30.6","2023",63,"Central Asia"
"Uzbekistan","uzbekistan","30.5","2023",64,"Central Asia"
"Laos","laos","30.5","2023",65,"East and Southeast Asia"
"Czechia","czechia","30.2","2023",66,"Europe"
"Namibia","namibia","30","2023",67,"Africa"
"Chile","chile","29.7","2023",68,"South America"
"Eritrea","eritrea","29.6","2017",69,"Africa"
"Lesotho","lesotho","29.5","2023",70,"Africa"
"Ghana","ghana","29.5","2023",71,"Africa"
"Burkina Faso","burkina-faso","29.3","2023",72,"Africa"
"Slovenia","slovenia","29.1","2023",73,"Europe"
"Syria","syria","28.9","2021",74,"Middle East"
"Poland","poland","28.7","2023",75,"Europe"
"Turkey (Turkiye)","turkey-turkiye","28.3","2023",76,"Middle East"
"Philippines","philippines","28.2","2023",77,"East and Southeast Asia"
"Germany","germany","28.1","2023",78,"Europe"
"Tanzania","tanzania","27.7","2023",79,"Africa"
"Romania","romania","27.6","2023",80,"Europe"
"Australia","australia","27.4","2023",81,"Australia and Oceania"
"Nicaragua","nicaragua","27.3","2023",82,"Central America and the Caribbean"
"Panama","panama","27.1","2023",83,"Central America and the Caribbean"
"Japan","japan","26.9","2022",84,"East and Southeast Asia"
"Ecuador","ecuador","26.9","2023",85,"South America"
"Serbia","serbia","26.4","2023",86,"Europe"
"Kosovo","kosovo","26.3","2023",87,"Europe"
"Austria","austria","26.3","2023",88,"Europe"
"Honduras","honduras","26","2023",89,"Central America and the Caribbean"
"Uganda","uganda","26","2023",90,"Africa"
"Sri Lanka","sri-lanka","25.6","2023",91,"South Asia"
"Yemen","yemen","25.4","2018",92,"Middle East"
"Bulgaria","bulgaria","25.4","2023",93,"Europe"
"Cameroon","cameroon","25.2","2023",94,"Africa"
"Argentina","argentina","25.1","2023",95,"South America"
"India","india","25","2023",96,"South Asia"
"El Salvador","el-salvador","25","2023",97,"Central America and the Caribbean"
"Switzerland","switzerland","24.9","2023",98,"Europe"
"Bolivia","bolivia","24.8","2023",99,"South America"
"South Africa","south-africa","24.6","2023",100,"Africa"
"Finland","finland","24.5","2023",101,"Europe"
"Ethiopia","ethiopia","24.5","2023",102,"Africa"
"Cote d'Ivoire","cote-divoire","24.5","2023",103,"Africa"
"Colombia","colombia","24.5","2023",104,"South America"
"Hungary","hungary","24.3","2023",105,"Europe"
"Jordan","jordan","24.1","2023",106,"Middle East"
"Lithuania","lithuania","24.1","2023",107,"Europe"
"Armenia","armenia","23.9","2023",108,"Middle East"
"Morocco","morocco","23.8","2023",109,"Africa"
"Cuba","cuba","23.8","2022",110,"Central America and the Caribbean"
"Senegal","senegal","23.7","2023",111,"Africa"
"Tunisia","tunisia","23.5","2023",112,"Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","23.3","2023",113,"Europe"
"Italy","italy","23.1","2023",114,"Europe"
"Liberia","liberia","22.9","2023",115,"Africa"
"Mozambique","mozambique","22.8","2022",116,"Africa"
"Sweden","sweden","22.8","2023",117,"Europe"
"Kyrgyzstan","kyrgyzstan","22.6","2023",118,"Central Asia"
"Canada","canada","22.5","2020",119,"North America"
"Singapore","singapore","22.4","2023",120,"East and Southeast Asia"
"Brazil","brazil","22.3","2023",121,"South America"
"New Caledonia","new-caledonia","22.3","2019",122,"Australia and Oceania"
"Estonia","estonia","22.3","2023",123,"Europe"
"Guatemala","guatemala","22.2","2023",124,"Central America and the Caribbean"
"Denmark","denmark","21.5","2023",125,"Europe"
"Rwanda","rwanda","21.5","2023",126,"Africa"
"North Macedonia","north-macedonia","21.4","2023",127,"Europe"
"Albania","albania","21.2","2023",128,"Europe"
"Iceland","iceland","21","2023",129,"Europe"
"Latvia","latvia","20.9","2023",130,"Europe"
"Pakistan","pakistan","20.8","2023",131,"South Asia"
"Central African Republic","central-african-republic","20.7","2023",132,"Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","20.6","2015",133,"South America"
"Costa Rica","costa-rica","20.5","2023",134,"Central America and the Caribbean"
"Spain","spain","20.2","2023",135,"Europe"
"Togo","togo","20.2","2023",136,"Africa"
"Niger","niger","20.2","2023",137,"Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","19.8","2023",138,"Central America and the Caribbean"
"Netherlands","netherlands","19.4","2023",139,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","19.4","2023",140,"Central America and the Caribbean"
"Mali","mali","19.4","2023",141,"Africa"
"New Zealand","new-zealand","19","2021",142,"Australia and Oceania"
"Georgia","georgia","19","2023",143,"Middle East"
"Ukraine","ukraine","18.8","2023",144,"Europe"
"Croatia","croatia","18.8","2023",145,"Europe"
"France","france","18.7","2023",146,"Europe"
"Solomon Islands","solomon-islands","18.7","2022",147,"Australia and Oceania"
"Mauritius","mauritius","18.6","2023",148,"Africa"
"Jamaica","jamaica","18.6","2023",149,"Central America and the Caribbean"
"Belgium","belgium","18.4","2023",150,"Europe"
"Malawi","malawi","18.3","2023",151,"Africa"
"Faroe Islands","faroe-islands","18.1","2022",152,"Europe"
"Portugal","portugal","18","2023",153,"Europe"
"United States","united-states","17.7","2021",154,"North America"
"Gaza Strip","gaza-strip","17.4","2022",155,"Middle East"
"West Bank","west-bank","17.4","2022",156,"Middle East"
"Moldova","moldova","17.4","2023",157,"Europe"
"Benin","benin","17.3","2023",158,"Africa"
"Israel","israel","17.2","2021",159,"Middle East"
"Kenya","kenya","17.1","2023",160,"Africa"
"United Kingdom","united-kingdom","16.9","2023",161,"Europe"
"Uruguay","uruguay","16.4","2023",162,"South America"
"Afghanistan","afghanistan","16.1","2022",163,"South Asia"
"Guinea-Bissau","guinea-bissau","16.1","2023",164,"Africa"
"Greenland","greenland","16.1","2021",165,"North America"
"Fiji","fiji","16.1","2023",166,"Australia and Oceania"
"Tonga","tonga","15.9","2021",167,"Australia and Oceania"
"Greece","greece","15.7","2023",168,"Europe"
"Djibouti","djibouti","15.3","2023",169,"Africa"
"Gambia, The","gambia-the","15.2","2023",170,"Africa"
"Madagascar","madagascar","14.9","2023",171,"Africa"
"Grenada","grenada","14.9","2023",172,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","14.2","2023",173,"Central America and the Caribbean"
"Belize","belize","13.2","2023",174,"Central America and the Caribbean"
"Barbados","barbados","13.1","2023",175,"Central America and the Caribbean"
