name,slug,value,date_of_information,ranking,region
"South Africa","south-africa","63","2014",1,"Africa"
"Namibia","namibia","59.1","2015",2,"Africa"
"Colombia","colombia","54.8","2022",3,"South America"
"Eswatini","eswatini","54.6","2016",4,"Africa"
"Hong Kong","hong-kong","53.9","2016",5,"East and Southeast Asia"
"Botswana","botswana","53.3","2015",6,"Africa"
"Brazil","brazil","52","2022",7,"South America"
"Zambia","zambia","51.5","2022",8,"Africa"
"Angola","angola","51.3","2018",9,"Africa"
"Saint Lucia","saint-lucia","51.2","2016",10,"Central America and the Caribbean"
"Mozambique","mozambique","50.5","2019",11,"Africa"
"Zimbabwe","zimbabwe","50.3","2020",12,"Africa"
"Panama","panama","48.9","2023",13,"Central America and the Caribbean"
"Guatemala","guatemala","48.3","2014",14,"Central America and the Caribbean"
"Honduras","honduras","48.2","2019",15,"Central America and the Caribbean"
"Costa Rica","costa-rica","47.2","2022",16,"Central America and the Caribbean"
"Nicaragua","nicaragua","46.2","2014",17,"Central America and the Caribbean"
"Singapore","singapore","45.9","2017",18,"East and Southeast Asia"
"Ecuador","ecuador","45.5","2022",19,"South America"
"Comoros","comoros","45.3","2014",20,"Africa"
"Paraguay","paraguay","45.1","2022",21,"South America"
"Lesotho","lesotho","44.9","2017",22,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","44.7","2020",23,"Africa"
"Turkey (Turkiye)","turkey-turkiye","44.4","2021",24,"Middle East"
"South Sudan","south-sudan","44.1","2016",25,"Africa"
"Grenada","grenada","43.8","2018",26,"Central America and the Caribbean"
"Rwanda","rwanda","43.7","2016",27,"Africa"
"Mexico","mexico","43.5","2022",28,"North America"
"Ghana","ghana","43.5","2016",29,"Africa"
"Chile","chile","43","2022",30,"South America"
"Central African Republic","central-african-republic","43","2021",31,"Africa"
"Uganda","uganda","42.7","2019",32,"Africa"
"Cabo Verde","cabo-verde","42.4","2015",33,"Africa"
"Cameroon","cameroon","42.2","2021",34,"Africa"
"Djibouti","djibouti","41.6","2017",35,"Africa"
"Bolivia","bolivia","40.9","2021",36,"South America"
"Philippines","philippines","40.7","2021",37,"East and Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","40.7","2017",38,"Africa"
"Malaysia","malaysia","40.7","2021",39,"East and Southeast Asia"
"Argentina","argentina","40.7","2022",40,"South America"
"Uruguay","uruguay","40.6","2022",41,"South America"
"Tanzania","tanzania","40.5","2018",42,"Africa"
"Peru","peru","40.3","2022",43,"South America"
"Jamaica","jamaica","40.2","2021",44,"Central America and the Caribbean"
"United States","united-states","39.8","2021",45,"North America"
"Suriname","suriname","39.2","2022",46,"South America"
"Bulgaria","bulgaria","39","2021",47,"Europe"
"El Salvador","el-salvador","38.8","2022",48,"Central America and the Caribbean"
"Laos","laos","38.8","2018",49,"East and Southeast Asia"
"Gambia, The","gambia-the","38.8","2020",50,"Africa"
"Kenya","kenya","38.7","2021",51,"Africa"
"Malawi","malawi","38.5","2019",52,"Africa"
"Indonesia","indonesia","38.3","2023",53,"East and Southeast Asia"
"Gabon","gabon","38","2017",54,"Africa"
"Togo","togo","37.9","2021",55,"Africa"
"Israel","israel","37.9","2021",56,"Middle East"
"Sri Lanka","sri-lanka","37.7","2019",57,"South Asia"
"Burundi","burundi","37.5","2020",58,"Africa"
"Chad","chad","37.4","2022",59,"Africa"
"Burkina Faso","burkina-faso","37.4","2021",60,"Africa"
"China","china","37.1","2020",61,"East and Southeast Asia"
"Dominican Republic","dominican-republic","37","2022",62,"Central America and the Caribbean"
"Somalia","somalia","36.8","2017",63,"Africa"
"Mauritius","mauritius","36.8","2017",64,"Africa"
"Yemen","yemen","36.7","2014",65,"Middle East"
"Lithuania","lithuania","36.7","2021",66,"Europe"
"Senegal","senegal","36.2","2021",67,"Africa"
"Vietnam","vietnam","36.1","2022",68,"East and Southeast Asia"
"Russia","russia","36","2020",69,"Central Asia"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","36","2015",70,"South America"
"Sierra Leone","sierra-leone","35.7","2018",71,"Africa"
"Mali","mali","35.7","2021",72,"Africa"
"Marshall Islands","marshall-islands","35.5","2019",73,"Australia and Oceania"
"Cote d'Ivoire","cote-divoire","35.3","2021",74,"Africa"
"Liberia","liberia","35.3","2016",75,"Africa"
"Nigeria","nigeria","35.1","2018",76,"Africa"
"Ethiopia","ethiopia","35","2015",77,"Africa"
"Thailand","thailand","34.9","2021",78,"East and Southeast Asia"
"Iran","iran","34.8","2022",79,"Middle East"
"Italy","italy","34.8","2021",80,"Europe"
"Portugal","portugal","34.6","2021",81,"Europe"
"Benin","benin","34.4","2021",82,"Africa"
"Montenegro","montenegro","34.3","2021",83,"Europe"
"Australia","australia","34.3","2018",84,"Australia and Oceania"
"Latvia","latvia","34.3","2021",85,"Europe"
"Georgia","georgia","34.2","2021",86,"Middle East"
"Sudan","sudan","34.2","2014",87,"Africa"
"Tajikistan","tajikistan","34","2015",88,"Central Asia"
"Romania","romania","33.9","2021",89,"Europe"
"Greenland","greenland","33.9","2015",90,"North America"
"Spain","spain","33.9","2021",91,"Europe"
"Tunisia","tunisia","33.7","2021",92,"Africa"
"West Bank","west-bank","33.7","2016",93,"Middle East"
"Switzerland","switzerland","33.7","2020",94,"Europe"
"Gaza Strip","gaza-strip","33.7","2016",95,"Middle East"
"Taiwan","taiwan","33.6","2014",96,"East and Southeast Asia"
"North Macedonia","north-macedonia","33.5","2019",97,"Europe"
"Guinea-Bissau","guinea-bissau","33.4","2021",98,"Africa"
"Bangladesh","bangladesh","33.4","2022",99,"South Asia"
"Serbia","serbia","33.1","2021",100,"Europe"
"Greece","greece","32.9","2021",101,"Europe"
"Niger","niger","32.9","2021",102,"Africa"
"India","india","32.8","2021",103,"South Asia"
"Luxembourg","luxembourg","32.7","2021",104,"Europe"
"United Kingdom","united-kingdom","32.4","2021",105,"Europe"
"Vanuatu","vanuatu","32.3","2019",106,"Australia and Oceania"
"Seychelles","seychelles","32.1","2018",107,"Africa"
"Mauritania","mauritania","32","2019",108,"Africa"
"Egypt","egypt","31.9","2019",109,"Africa"
"Estonia","estonia","31.8","2021",110,"Europe"
"Germany","germany","31.7","2019",111,"Europe"
"Canada","canada","31.7","2019",112,"North America"
"France","france","31.5","2021",113,"Europe"
"Mongolia","mongolia","31.4","2022",114,"East and Southeast Asia"
"Malta","malta","31.4","2020",115,"Europe"
"Korea, South","korea-south","31.4","2016",116,"East and Southeast Asia"
"Cyprus","cyprus","31.3","2021",117,"Europe"
"Uzbekistan","uzbekistan","31.2","2022",118,"Central Asia"
"Fiji","fiji","30.7","2019",119,"Australia and Oceania"
"Burma","burma","30.7","2017",120,"East and Southeast Asia"
"Austria","austria","30.7","2021",121,"Europe"
"Ireland","ireland","30.1","2021",122,"Europe"
"Sweden","sweden","29.8","2021",123,"Europe"
"Pakistan","pakistan","29.6","2018",124,"South Asia"
"Guinea","guinea","29.6","2018",125,"Africa"
"Albania","albania","29.4","2020",126,"Europe"
"Maldives","maldives","29.3","2019",127,"South Asia"
"Hungary","hungary","29.2","2021",128,"Europe"
"Kazakhstan","kazakhstan","29.2","2021",129,"Central Asia"
"Kosovo","kosovo","29","2017",130,"Europe"
"Croatia","croatia","28.9","2021",131,"Europe"
"Kyrgyzstan","kyrgyzstan","28.8","2021",132,"Central Asia"
"Timor-Leste","timor-leste","28.7","2014",133,"East and Southeast Asia"
"Poland","poland","28.5","2021",134,"Europe"
"Bhutan","bhutan","28.5","2022",135,"South Asia"
"Denmark","denmark","28.3","2021",136,"Europe"
"Armenia","armenia","27.9","2022",137,"Middle East"
"Kiribati","kiribati","27.8","2019",138,"Australia and Oceania"
"Finland","finland","27.7","2021",139,"Europe"
"Norway","norway","27.7","2019",140,"Europe"
"Tonga","tonga","27.1","2021",141,"Australia and Oceania"
"Belgium","belgium","26.6","2021",142,"Europe"
"Syria","syria","26.6","2022",143,"Middle East"
"Czechia","czechia","26.2","2021",144,"Europe"
"Iceland","iceland","26.1","2017",145,"Europe"
"United Arab Emirates","united-arab-emirates","26","2018",146,"Middle East"
"Moldova","moldova","25.7","2021",147,"Europe"
"Netherlands","netherlands","25.7","2021",148,"Europe"
"Ukraine","ukraine","25.6","2020",149,"Europe"
"Belarus","belarus","24.4","2020",150,"Europe"
"Slovenia","slovenia","24.3","2021",151,"Europe"
"Slovakia","slovakia","24.1","2021",152,"Europe"
"Jersey","jersey","0.3","2014",153,"Europe"
