name,slug,%,date_of_information,ranking,region
"Guyana","guyana","98.53","2022",1,"South America"
"Kiribati","kiribati","21.11","2021",2,"Australia and Oceania"
"Slovakia","slovakia","15.61","2023",3,"Europe"
"Fiji","fiji","15.32","2023",4,"Australia and Oceania"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","14.56","2023",5,"Africa"
"Liberia","liberia","13.86","2023",6,"Africa"
"Panama","panama","13.06","2023",7,"Central America and the Caribbean"
"Mongolia","mongolia","12.57","2023",8,"East and Southeast Asia"
"Libya","libya","12.54","2023",9,"Africa"
"San Marino","san-marino","11.57","2021",10,"Europe"
"Guinea","guinea","11.47","2023",11,"Africa"
"Mauritius","mauritius","10.47","2023",12,"Africa"
"Mozambique","mozambique","10.43","2023",13,"Africa"
"Bahamas, The","bahamas-the","10.34","2023",14,"Central America and the Caribbean"
"Rwanda","rwanda","10.25","2023",15,"Africa"
"Marshall Islands","marshall-islands","10.24","2022",16,"Australia and Oceania"
"Djibouti","djibouti","10","2023",17,"Africa"
"Isle of Man","isle-of-man","9.95","2021",18,"Europe"
"Tajikistan","tajikistan","9.26","2022",19,"Central Asia"
"Namibia","namibia","9.19","2023",20,"Africa"
"Cote d'Ivoire","cote-divoire","9.06","2023",21,"Africa"
"India","india","9.02","2023",22,"South Asia"
"Iran","iran","8.84","2023",23,"Middle East"
"Ukraine","ukraine","8.61","2023",24,"Europe"
"United Arab Emirates","united-arab-emirates","8.49","2022",25,"Middle East"
"Bangladesh","bangladesh","8.37","2023",26,"South Asia"
"Costa Rica","costa-rica","8.35","2023",27,"Central America and the Caribbean"
"Belarus","belarus","8.12","2023",28,"Europe"
"Kuwait","kuwait","8.05","2022",29,"Middle East"
"Denmark","denmark","7.92","2023",30,"Europe"
"Kazakhstan","kazakhstan","7.36","2023",31,"Central Asia"
"Benin","benin","7.29","2023",32,"Africa"
"Maldives","maldives","7.26","2023",33,"South Asia"
"Ethiopia","ethiopia","6.93","2023",34,"Africa"
"Togo","togo","6.74","2023",35,"Africa"
"Papua New Guinea","papua-new-guinea","6.61","2022",36,"East and Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","6.59","2022",37,"Africa"
"Gambia, The","gambia-the","6.5","2023",38,"Africa"
"Georgia","georgia","6.15","2023",39,"Middle East"
"Uzbekistan","uzbekistan","6.15","2023",40,"Central Asia"
"Nicaragua","nicaragua","6.07","2023",41,"Central America and the Caribbean"
"Israel","israel","6.05","2021",42,"Middle East"
"Turks and Caicos Islands","turks-and-caicos-islands","5.84","2016",43,"Central America and the Caribbean"
"Bhutan","bhutan","5.6","2022",44,"South Asia"
"Bermuda","bermuda","5.57","2022",45,"North America"
"Armenia","armenia","5.51","2023",46,"Middle East"
"Zimbabwe","zimbabwe","5.5","2022",47,"Africa"
"Hong Kong","hong-kong","5.06","2022",48,"East and Southeast Asia"
"Oman","oman","5.05","2022",49,"Middle East"
"Dominica","dominica","5.01","2023",50,"Central America and the Caribbean"
"Indonesia","indonesia","5","2023",51,"East and Southeast Asia"
"Jamaica","jamaica","4.98","2023",52,"Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","4.93","2023",53,"Central Asia"
"Vanuatu","vanuatu","4.92","2018",54,"Australia and Oceania"
"Solomon Islands","solomon-islands","4.7","2022",55,"Australia and Oceania"
"French Polynesia","french-polynesia","4.3","2014",56,"Australia and Oceania"
"Cambodia","cambodia","4.3","2023",57,"East and Southeast Asia"
"Turkmenistan","turkmenistan","4.3","2014",58,"Central Asia"
"Curacao","curacao","4.3","2014",59,"Central America and the Caribbean"
"Virgin Islands","virgin-islands","4.3","2014",60,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","4.3","2014",61,"Australia and Oceania"
"Tuvalu","tuvalu","4.3","2014",62,"Australia and Oceania"
"Malta","malta","4.3","2014",63,"Europe"
"New Caledonia","new-caledonia","4.3","2014",64,"Australia and Oceania"
"Korea, North","korea-north","4.3","2014",65,"East and Southeast Asia"
"Liechtenstein","liechtenstein","4.3","2014",66,"Europe"
"Somalia","somalia","4.3","2014",67,"Africa"
"Guam","guam","4.3","2014",68,"Australia and Oceania"
"Saint Martin","saint-martin","4.3","2014",69,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","4.3","2014",70,"Europe"
"Eritrea","eritrea","4.3","2014",71,"Africa"
"Puerto Rico","puerto-rico","4.3","2014",72,"Central America and the Caribbean"
"Gibraltar","gibraltar","4.3","2014",73,"Europe"
"Nauru","nauru","4.3","2014",74,"Australia and Oceania"
"El Salvador","el-salvador","4.12","2023",75,"Central America and the Caribbean"
"Albania","albania","4.03","2023",76,"Europe"
"Anguilla","anguilla","4","2017",77,"Central America and the Caribbean"
"Guinea-Bissau","guinea-bissau","4","2023",78,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","3.91","2023",79,"Central America and the Caribbean"
"Taiwan","taiwan","3.9","2017",80,"East and Southeast Asia"
"Tanzania","tanzania","3.9","2023",81,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","3.89","2023",82,"Central America and the Caribbean"
"Andorra","andorra","3.88","2023",83,"Europe"
"Cameroon","cameroon","3.8","2023",84,"Africa"
"Slovenia","slovenia","3.8","2023",85,"Europe"
"Vietnam","vietnam","3.74","2023",86,"East and Southeast Asia"
"Algeria","algeria","3.74","2023",87,"Africa"
"Barbados","barbados","3.64","2023",88,"Central America and the Caribbean"
"Serbia","serbia","3.62","2023",89,"Europe"
"Philippines","philippines","3.59","2023",90,"East and Southeast Asia"
"China","china","3.58","2023",91,"East and Southeast Asia"
"Russia","russia","3.56","2023",92,"Central Asia"
"Mexico","mexico","3.52","2023",93,"North America"
"Saint Lucia","saint-lucia","3.5","2023",94,"Central America and the Caribbean"
"Uganda","uganda","3.5","2023",95,"Africa"
"Gabon","gabon","3.5","2023",96,"Africa"
"Cayman Islands","cayman-islands","3.45","2022",97,"Central America and the Caribbean"
"Paraguay","paraguay","3.43","2023",98,"South America"
"Montenegro","montenegro","3.34","2023",99,"Europe"
"Jordan","jordan","3.28","2023",100,"Middle East"
"Sierra Leone","sierra-leone","3.27","2023",101,"Africa"
"Chad","chad","3.27","2023",102,"Africa"
"United States","united-states","3.25","2021",103,"North America"
"Iceland","iceland","3.24","2023",104,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","3.18","2022",105,"Central America and the Caribbean"
"Cyprus","cyprus","3.16","2023",106,"Europe"
"Suriname","suriname","3.05","2022",107,"South America"
"Niger","niger","2.9","2023",108,"Africa"
"Senegal","senegal","2.9","2023",109,"Africa"
"Burundi","burundi","2.75","2023",110,"Africa"
"Laos","laos","2.61","2023",111,"East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","2.34","2023",112,"Middle East"
"Botswana","botswana","2.25","2023",113,"Africa"
"Kenya","kenya","2.2","2023",114,"Africa"
"Seychelles","seychelles","2.13","2023",115,"Africa"
"Burkina Faso","burkina-faso","1.95","2023",116,"Africa"
"Spain","spain","1.94","2023",117,"Europe"
"Guatemala","guatemala","1.91","2023",118,"Central America and the Caribbean"
"Zambia","zambia","1.73","2023",119,"Africa"
"Qatar","qatar","1.69","2022",120,"Middle East"
"Greece","greece","1.68","2023",121,"Europe"
"Guernsey","guernsey","1.64","2022",122,"Europe"
"Jersey","jersey","1.64","2022",123,"Europe"
"Brazil","brazil","1.59","2023",124,"South America"
"Malawi","malawi","1.58","2023",125,"Africa"
"Chile","chile","1.56","2023",126,"South America"
"Kosovo","kosovo","1.56","2023",127,"Europe"
"Burma","burma","1.53","2023",128,"East and Southeast Asia"
"Eswatini","eswatini","1.53","2023",129,"Africa"
"Malaysia","malaysia","1.43","2023",130,"East and Southeast Asia"
"Nepal","nepal","1.38","2023",131,"South Asia"
"Azerbaijan","azerbaijan","1.34","2023",132,"Middle East"
"Australia","australia","1.34","2023",133,"Australia and Oceania"
"Tonga","tonga","1.23","2021",134,"Australia and Oceania"
"Cabo Verde","cabo-verde","1.18","2023",135,"Africa"
"Romania","romania","1.15","2023",136,"Europe"
"Korea, South","korea-south","1.14","2023",137,"East and Southeast Asia"
"British Virgin Islands","british-virgin-islands","1.1","2017",138,"Central America and the Caribbean"
"Bolivia","bolivia","1","2023",139,"South America"
"Morocco","morocco","0.96","2023",140,"Africa"
"Bulgaria","bulgaria","0.91","2023",141,"Europe"
"Micronesia, Federated States of","micronesia-federated-states-of","0.78","2023",142,"Australia and Oceania"
"Congo, Republic of the","congo-republic-of-the","0.75","2023",143,"Africa"
"France","france","0.74","2023",144,"Europe"
"Lebanon","lebanon","0.74","2023",145,"Middle East"
"Nigeria","nigeria","0.72","2023",146,"Africa"
"Latvia","latvia","0.71","2023",147,"Europe"
"Poland","poland","0.55","2023",148,"Europe"
"Luxembourg","luxembourg","0.49","2023",149,"Europe"
"Sint Maarten","sint-maarten","0.46","2021",150,"Central America and the Caribbean"
"Norway","norway","0.22","2023",151,"Europe"
"United Kingdom","united-kingdom","0.14","2023",152,"Europe"
"Comoros","comoros","0","2023",153,"Africa"
"Italy","italy","-0.02","2023",154,"Europe"
"Dominican Republic","dominican-republic","-0.07","2023",155,"Central America and the Caribbean"
"South Africa","south-africa","-0.15","2023",156,"Africa"
"Lesotho","lesotho","-0.33","2023",157,"Africa"
"Argentina","argentina","-0.35","2023",158,"South America"
"Czechia","czechia","-0.44","2023",159,"Europe"
"Croatia","croatia","-0.47","2023",160,"Europe"
"Mauritania","mauritania","-0.48","2023",161,"Africa"
"Egypt","egypt","-0.57","2023",162,"Africa"
"Ecuador","ecuador","-0.75","2023",163,"South America"
"Mali","mali","-0.82","2023",164,"Africa"
"Canada","canada","-0.9","2023",165,"North America"
"North Macedonia","north-macedonia","-1.07","2023",166,"Europe"
"Bahrain","bahrain","-1.1","2023",167,"Middle East"
"Yemen","yemen","-1.12","2018",168,"Middle East"
"Portugal","portugal","-1.13","2023",169,"Europe"
"Ghana","ghana","-1.22","2023",170,"Africa"
"Japan","japan","-1.25","2022",171,"East and Southeast Asia"
"Peru","peru","-1.28","2023",172,"South America"
"Brunei","brunei","-1.43","2023",173,"East and Southeast Asia"
"Tunisia","tunisia","-1.5","2023",174,"Africa"
"Saudi Arabia","saudi-arabia","-1.51","2023",175,"Middle East"
