name,slug,value,date_of_information,ranking,region
"China","china","779,246,000","2023",1,"East and Southeast Asia"
"India","india","593,729,000","2023",2,"South Asia"
"United States","united-states","170,549,000","2023",3,"North America"
"Indonesia","indonesia","140,931,000","2023",4,"East and Southeast Asia"
"Brazil","brazil","108,695,000","2023",5,"South America"
"Pakistan","pakistan","80,990,000","2023",6,"South Asia"
"Nigeria","nigeria","75,721,000","2023",7,"Africa"
"Bangladesh","bangladesh","74,914,000","2023",8,"South Asia"
"Russia","russia","72,408,000","2023",9,"Central Asia"
"Japan","japan","69,349,000","2023",10,"East and Southeast Asia"
"Ethiopia","ethiopia","61,664,000","2023",11,"Africa"
"Mexico","mexico","60,042,000","2023",12,"North America"
"Vietnam","vietnam","56,149,000","2023",13,"East and Southeast Asia"
"Philippines","philippines","49,477,000","2023",14,"East and Southeast Asia"
"Germany","germany","44,784,000","2023",15,"Europe"
"Thailand","thailand","40,814,000","2023",16,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","35,983,000","2023",17,"Africa"
"United Kingdom","united-kingdom","35,275,000","2023",18,"Europe"
"Turkey (Turkiye)","turkey-turkiye","35,071,000","2023",19,"Middle East"
"Egypt","egypt","33,431,000","2023",20,"Africa"
"France","france","31,825,000","2023",21,"Europe"
"Tanzania","tanzania","31,219,000","2023",22,"Africa"
"Korea, South","korea-south","29,611,000","2023",23,"East and Southeast Asia"
"Iran","iran","29,159,000","2023",24,"Middle East"
"Colombia","colombia","26,003,000","2023",25,"South America"
"Italy","italy","25,669,000","2023",26,"Europe"
"Kenya","kenya","25,502,000","2023",27,"Africa"
"South Africa","south-africa","25,158,000","2023",28,"Africa"
"Spain","spain","24,108,000","2023",29,"Europe"
"Burma","burma","22,884,000","2023",30,"East and Southeast Asia"
"Canada","canada","22,110,000","2023",31,"North America"
"Argentina","argentina","21,906,000","2023",32,"South America"
"Ukraine","ukraine","20,312,000","2021",33,"Europe"
"Uganda","uganda","18,881,000","2023",34,"Africa"
"Peru","peru","18,529,000","2023",35,"South America"
"Poland","poland","18,387,000","2023",36,"Europe"
"Malaysia","malaysia","17,308,000","2023",37,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","16,934,000","2023",38,"Middle East"
"Korea, North","korea-north","15,837,000","2023",39,"East and Southeast Asia"
"Madagascar","madagascar","15,830,000","2023",40,"Africa"
"Angola","angola","15,223,000","2023",41,"Africa"
"Mozambique","mozambique","15,191,000","2023",42,"Africa"
"Ghana","ghana","14,887,000","2023",43,"Africa"
"Australia","australia","14,501,000","2023",44,"Australia and Oceania"
"Uzbekistan","uzbekistan","14,270,000","2023",45,"Central Asia"
"Sudan","sudan","13,590,000","2023",46,"Africa"
"Algeria","algeria","13,425,000","2023",47,"Africa"
"Morocco","morocco","12,284,000","2023",48,"Africa"
"Cameroon","cameroon","11,965,000","2023",49,"Africa"
"Iraq","iraq","11,812,000","2023",50,"Middle East"
"Venezuela","venezuela","11,548,000","2023",51,"South America"
"Taiwan","taiwan","11,498,000","2020",52,"East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","10,954,000","2023",53,"Africa"
"Niger","niger","10,237,000","2023",54,"Africa"
"Netherlands","netherlands","9,999,000","2023",55,"Europe"
"Chile","chile","9,848,000","2023",56,"South America"
"Kazakhstan","kazakhstan","9,587,000","2023",57,"Central Asia"
"Cambodia","cambodia","9,175,000","2023",58,"East and Southeast Asia"
"Nepal","nepal","8,937,000","2023",59,"South Asia"
"Afghanistan","afghanistan","8,921,000","2023",60,"South Asia"
"Ecuador","ecuador","8,893,000","2023",61,"South America"
"Sri Lanka","sri-lanka","8,707,000","2023",62,"South Asia"
"Burkina Faso","burkina-faso","8,577,000","2023",63,"Africa"
"Malawi","malawi","8,366,000","2023",64,"Africa"
"Romania","romania","8,282,000","2023",65,"Europe"
"Mali","mali","8,277,000","2023",66,"Africa"
"Guatemala","guatemala","7,258,000","2023",67,"Central America and the Caribbean"
"Zambia","zambia","7,051,000","2023",68,"Africa"
"Yemen","yemen","6,883,000","2023",69,"Middle East"
"United Arab Emirates","united-arab-emirates","6,668,000","2023",70,"Middle East"
"Zimbabwe","zimbabwe","6,561,000","2023",71,"Africa"
"Syria","syria","6,315,000","2023",72,"Middle East"
"Bolivia","bolivia","6,114,000","2023",73,"South America"
"Sweden","sweden","5,825,000","2023",74,"Europe"
"Chad","chad","5,806,000","2023",75,"Africa"
"Burundi","burundi","5,722,000","2023",76,"Africa"
"Czechia","czechia","5,502,000","2023",77,"Europe"
"Azerbaijan","azerbaijan","5,473,000","2023",78,"Middle East"
"Belgium","belgium","5,432,000","2023",79,"Europe"
"Portugal","portugal","5,419,000","2023",80,"Europe"
"Cuba","cuba","5,317,000","2023",81,"Central America and the Caribbean"
"Dominican Republic","dominican-republic","5,302,000","2023",82,"Central America and the Caribbean"
"Rwanda","rwanda","5,283,000","2023",83,"Africa"
"Senegal","senegal","5,257,000","2023",84,"Africa"
"Haiti","haiti","5,238,000","2023",85,"Central America and the Caribbean"
"Hungary","hungary","5,006,000","2023",86,"Europe"
"Switzerland","switzerland","4,991,000","2023",87,"Europe"
"Benin","benin","4,964,000","2023",88,"Africa"
"Belarus","belarus","4,956,000","2023",89,"Europe"
"Austria","austria","4,825,000","2023",90,"Europe"
"Honduras","honduras","4,676,000","2023",91,"Central America and the Caribbean"
"Greece","greece","4,645,000","2023",92,"Europe"
"Israel","israel","4,554,000","2023",93,"Middle East"
"South Sudan","south-sudan","4,471,000","2023",94,"Africa"
