name,slug,% of GDP,date_of_information,ranking,region
"Eritrea","eritrea","10","2019",1,"Africa"
"Algeria","algeria","9","2023",2,"Africa"
"Saudi Arabia","saudi-arabia","7","2023",3,"Middle East"
"Syria","syria","6.5","2019",4,"Middle East"
"Somalia","somalia","6","2021",5,"Africa"
"Oman","oman","5.5","2023",6,"Middle East"
"Armenia","armenia","5.3","2024",7,"Middle East"
"Venezuela","venezuela","5.2","2019",8,"South America"
"Russia","russia","5","2023",9,"Central Asia"
"Kuwait","kuwait","5","2023",10,"Middle East"
"Jordan","jordan","4.5","2023",11,"Middle East"
"Azerbaijan","azerbaijan","4.5","2023",12,"Middle East"
"Israel","israel","4.5","2023",13,"Middle East"
"Cuba","cuba","4.2","2020",14,"Central America and the Caribbean"
"Poland","poland","4.1","2024",15,"Europe"
"Morocco","morocco","4","2023",16,"Africa"
"Burkina Faso","burkina-faso","4","2023",17,"Africa"
"Mali","mali","4","2023",18,"Africa"
"Ukraine","ukraine","4","2021",19,"Europe"
"Qatar","qatar","4","2023",20,"Middle East"
"United Arab Emirates","united-arab-emirates","4","2023",21,"Middle East"
"Burma","burma","3.9","2023",22,"East and Southeast Asia"
"Burundi","burundi","3.7","2023",23,"Africa"
"Djibouti","djibouti","3.5","2019",24,"Africa"
"United States","united-states","3.4","2024",25,"North America"
"Estonia","estonia","3.4","2024",26,"Europe"
"Afghanistan","afghanistan","3.3","2019",27,"South Asia"
"Lebanon","lebanon","3.2","2021",28,"Middle East"
"Latvia","latvia","3.2","2024",29,"Europe"
"Bahrain","bahrain","3.1","2023",30,"Middle East"
"Greece","greece","3.1","2024",31,"Europe"
"Brunei","brunei","3","2023",32,"East and Southeast Asia"
"Iraq","iraq","3","2023",33,"Middle East"
"Pakistan","pakistan","3","2023",34,"South Asia"
"Singapore","singapore","3","2024",35,"East and Southeast Asia"
"Chad","chad","2.9","2023",36,"Africa"
"Colombia","colombia","2.9","2023",37,"South America"
"Lithuania","lithuania","2.9","2024",38,"Europe"
"Uzbekistan","uzbekistan","2.8","2019",39,"Central Asia"
"Namibia","namibia","2.8","2023",40,"Africa"
"Korea, South","korea-south","2.7","2023",41,"East and Southeast Asia"
"Botswana","botswana","2.6","2023",42,"Africa"
"South Sudan","south-sudan","2.5","2022",43,"Africa"
"Tunisia","tunisia","2.5","2023",44,"Africa"
"Mauritania","mauritania","2.5","2023",45,"Africa"
"Taiwan","taiwan","2.4","2023",46,"East and Southeast Asia"
"Serbia","serbia","2.4","2023",47,"Europe"
"Finland","finland","2.4","2024",48,"Europe"
"Denmark","denmark","2.4","2024",49,"Europe"
"India","india","2.3","2023",50,"South Asia"
"Romania","romania","2.3","2024",51,"Europe"
"United Kingdom","united-kingdom","2.3","2024",52,"Europe"
"Guinea","guinea","2.2","2023",53,"Africa"
"Norway","norway","2.2","2024",54,"Europe"
