name,slug,%,date_of_information,ranking,region
"Macau","macau","80.53","2023",1,"East and Southeast Asia"
"Guyana","guyana","33.02","2023",2,"South America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","25.5","2015",3,"South America"
"Monaco","monaco","11.1","2022",4,"Europe"
"Cook Islands","cook-islands","10.5","2022",5,"Australia and Oceania"
"Aruba","aruba","10.46","2022",6,"Central America and the Caribbean"
"Armenia","armenia","8.7","2023",7,"Middle East"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","8.56","2023",8,"Africa"
"San Marino","san-marino","8.46","2021",9,"Europe"
"Tajikistan","tajikistan","8.3","2023",10,"Central Asia"
"Rwanda","rwanda","8.24","2023",11,"Africa"
"Fiji","fiji","8.03","2023",12,"Australia and Oceania"
"Samoa","samoa","7.99","2023",13,"Australia and Oceania"
"Curacao","curacao","7.9","2022",14,"Central America and the Caribbean"
"Guernsey","guernsey","7.81","2022",15,"Europe"
"Jersey","jersey","7.81","2022",16,"Europe"
"India","india","7.58","2023",17,"South Asia"
"Georgia","georgia","7.47","2023",18,"Middle East"
"Panama","panama","7.32","2023",19,"Central America and the Caribbean"
"Guinea","guinea","7.06","2023",20,"Africa"
"Mongolia","mongolia","7.02","2023",21,"East and Southeast Asia"
"Mauritius","mauritius","6.95","2023",22,"Africa"
"Djibouti","djibouti","6.68","2023",23,"Africa"
"Cote d'Ivoire","cote-divoire","6.54","2023",24,"Africa"
"Ethiopia","ethiopia","6.5","2023",25,"Africa"
"Bermuda","bermuda","6.43","2022",26,"North America"
"Togo","togo","6.41","2023",27,"Africa"
"Benin","benin","6.35","2023",28,"Africa"
"Turkmenistan","turkmenistan","6.3","2023",29,"Central Asia"
"Kyrgyzstan","kyrgyzstan","6.15","2023",30,"Central Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","6.02","2023",31,"Central America and the Caribbean"
"Uzbekistan","uzbekistan","5.99","2023",32,"Central Asia"
"Montenegro","montenegro","5.98","2023",33,"Europe"
"Zambia","zambia","5.83","2023",34,"Africa"
"Bangladesh","bangladesh","5.78","2023",35,"South Asia"
"Malta","malta","5.61","2023",36,"Europe"
"Philippines","philippines","5.55","2023",37,"East and Southeast Asia"
"Kenya","kenya","5.43","2023",38,"Africa"
"Faroe Islands","faroe-islands","5.4","2022",39,"Europe"
"Cambodia","cambodia","5.4","2023",40,"East and Southeast Asia"
"Ukraine","ukraine","5.3","2023",41,"Europe"
"Gambia, The","gambia-the","5.3","2023",42,"Africa"
"Mali","mali","5.24","2023",43,"Africa"
"Uganda","uganda","5.23","2023",44,"Africa"
"Bhutan","bhutan","5.21","2022",45,"South Asia"
"China","china","5.2","2023",46,"East and Southeast Asia"
"Tanzania","tanzania","5.19","2023",47,"Africa"
"Cayman Islands","cayman-islands","5.16","2022",48,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","5.15","2023",49,"Africa"
"Costa Rica","costa-rica","5.11","2023",50,"Central America and the Caribbean"
"Kazakhstan","kazakhstan","5.1","2023",51,"Central Asia"
"Guam","guam","5.1","2022",52,"Australia and Oceania"
"Indonesia","indonesia","5.05","2023",53,"East and Southeast Asia"
"Vietnam","vietnam","5.05","2023",54,"East and Southeast Asia"
"Mozambique","mozambique","5","2023",55,"Africa"
"Eritrea","eritrea","5","2017",56,"Africa"
"Zimbabwe","zimbabwe","4.96","2023",57,"Africa"
"Iran","iran","4.95","2023",58,"Middle East"
"Saint Martin","saint-martin","4.9","2021",59,"Central America and the Caribbean"
"Eswatini","eswatini","4.84","2023",60,"Africa"
"Grenada","grenada","4.81","2023",61,"Central America and the Caribbean"
"Dominica","dominica","4.71","2023",62,"Central America and the Caribbean"
"Paraguay","paraguay","4.71","2023",63,"South America"
"Liberia","liberia","4.71","2023",64,"Africa"
"Nicaragua","nicaragua","4.57","2023",65,"Central America and the Caribbean"
"Belize","belize","4.54","2023",66,"Central America and the Caribbean"
"Turkey (Turkiye)","turkey-turkiye","4.52","2023",67,"Middle East"
"Barbados","barbados","4.52","2023",68,"Central America and the Caribbean"
"French Polynesia","french-polynesia","4.47","2022",69,"Australia and Oceania"
"Kiribati","kiribati","4.29","2023",70,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","4.25","2023",71,"Africa"
"Qatar","qatar","4.21","2022",72,"Middle East"
"Namibia","namibia","4.16","2023",73,"Africa"
"Chad","chad","4.12","2023",74,"Africa"
"Algeria","algeria","4.1","2023",75,"Africa"
"Iceland","iceland","4.06","2023",76,"Europe"
"Madagascar","madagascar","3.99","2023",77,"Africa"
"Cameroon","cameroon","3.99","2023",78,"Africa"
"Maldives","maldives","3.97","2023",79,"South Asia"
"Belarus","belarus","3.89","2023",80,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","3.86","2023",81,"Central America and the Caribbean"
"Tuvalu","tuvalu","3.85","2023",82,"Australia and Oceania"
"Isle of Man","isle-of-man","3.84","2021",83,"Europe"
"Egypt","egypt","3.76","2023",84,"Africa"
"Laos","laos","3.75","2023",85,"East and Southeast Asia"
"Senegal","senegal","3.7","2023",86,"Africa"
"Malaysia","malaysia","3.68","2023",87,"East and Southeast Asia"
"Russia","russia","3.6","2023",88,"Central Asia"
"Honduras","honduras","3.58","2023",89,"Central America and the Caribbean"
"El Salvador","el-salvador","3.51","2023",90,"Central America and the Caribbean"
"New Caledonia","new-caledonia","3.5","2022",91,"Australia and Oceania"
"Guatemala","guatemala","3.48","2023",92,"Central America and the Caribbean"
"Albania","albania","3.44","2023",93,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","3.43","2023",94,"Central America and the Caribbean"
"Sierra Leone","sierra-leone","3.43","2023",95,"Africa"
"United Arab Emirates","united-arab-emirates","3.4","2023",96,"Middle East"
"Sint Maarten","sint-maarten","3.4","2023",97,"Central America and the Caribbean"
"Mauritania","mauritania","3.38","2023",98,"Africa"
"Kosovo","kosovo","3.34","2023",99,"Europe"
"Mexico","mexico","3.23","2023",100,"North America"
"Marshall Islands","marshall-islands","3.23","2023",101,"Australia and Oceania"
"Hong Kong","hong-kong","3.22","2023",102,"East and Southeast Asia"
"Saint Lucia","saint-lucia","3.19","2023",103,"Central America and the Caribbean"
"Morocco","morocco","3.18","2023",104,"Africa"
"Seychelles","seychelles","3.16","2023",105,"Africa"
"Somalia","somalia","3.1","2023",106,"Africa"
"Croatia","croatia","3.06","2023",107,"Europe"
"Australia","australia","3.02","2023",108,"Australia and Oceania"
"Burkina Faso","burkina-faso","2.96","2023",109,"Africa"
"Solomon Islands","solomon-islands","2.95","2023",110,"Australia and Oceania"
"Ghana","ghana","2.94","2023",111,"Africa"
"Brazil","brazil","2.91","2023",112,"South America"
"Nigeria","nigeria","2.86","2023",113,"Africa"
"Virgin Islands","virgin-islands","2.85","2021",114,"Central America and the Caribbean"
"Botswana","botswana","2.73","2023",115,"Africa"
"Taiwan","taiwan","2.71","2019",116,"East and Southeast Asia"
"Comoros","comoros","2.7","2023",117,"Africa"
"Burundi","burundi","2.7","2023",118,"Africa"
"Papua New Guinea","papua-new-guinea","2.68","2023",119,"East and Southeast Asia"
"Bahamas, The","bahamas-the","2.64","2023",120,"Central America and the Caribbean"
"Jordan","jordan","2.62","2023",121,"Middle East"
"United States","united-states","2.54","2023",122,"North America"
"Serbia","serbia","2.53","2023",123,"Europe"
"Spain","spain","2.5","2023",124,"Europe"
"Niger","niger","2.5","2023",125,"Africa"
"Bahrain","bahrain","2.48","2023",126,"Middle East"
"Cyprus","cyprus","2.47","2023",127,"Europe"
"Bolivia","bolivia","2.44","2023",128,"South America"
"Dominican Republic","dominican-republic","2.36","2023",129,"Central America and the Caribbean"
"Ecuador","ecuador","2.36","2023",130,"South America"
"Gabon","gabon","2.26","2023",131,"Africa"
"Portugal","portugal","2.26","2023",132,"Europe"
"Vanuatu","vanuatu","2.21","2023",133,"Australia and Oceania"
"Jamaica","jamaica","2.2","2023",134,"Central America and the Caribbean"
"Romania","romania","2.15","2023",135,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","2.1","2023",136,"Central America and the Caribbean"
"Suriname","suriname","2.08","2023",137,"South America"
"Greece","greece","2.01","2023",138,"Europe"
"Israel","israel","2","2023",139,"Middle East"
"British Virgin Islands","british-virgin-islands","2","2017",140,"Central America and the Caribbean"
"Nepal","nepal","1.95","2023",141,"South Asia"
"Japan","japan","1.92","2023",142,"East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","1.91","2023",143,"Africa"
"Denmark","denmark","1.89","2023",144,"Europe"
"Thailand","thailand","1.88","2023",145,"East and Southeast Asia"
"Bulgaria","bulgaria","1.85","2023",146,"Europe"
"Cuba","cuba","1.77","2022",147,"Central America and the Caribbean"
"American Samoa","american-samoa","1.74","2022",148,"Australia and Oceania"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1.68","2023",149,"Europe"
"Slovakia","slovakia","1.6","2023",150,"Europe"
"Slovenia","slovenia","1.59","2023",151,"Europe"
"Malawi","malawi","1.54","2023",152,"Africa"
"Andorra","andorra","1.44","2023",153,"Europe"
"Brunei","brunei","1.41","2023",154,"East and Southeast Asia"
"Belgium","belgium","1.37","2023",155,"Europe"
"Korea, South","korea-south","1.36","2023",156,"East and Southeast Asia"
"Syria","syria","1.3","2021",157,"Middle East"
"Oman","oman","1.3","2023",158,"Middle East"
"Greenland","greenland","1.29","2021",159,"North America"
"Turks and Caicos Islands","turks-and-caicos-islands","1.2","2023",160,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","1.12","2023",161,"Middle East"
"Singapore","singapore","1.08","2023",162,"East and Southeast Asia"
"Canada","canada","1.07","2023",163,"North America"
"North Macedonia","north-macedonia","1.03","2023",164,"Europe"
"Burma","burma","1","2023",165,"East and Southeast Asia"
"Italy","italy","0.92","2023",166,"Europe"
"Lesotho","lesotho","0.9","2023",167,"Africa"
"Central African Republic","central-african-republic","0.87","2023",168,"Africa"
"Angola","angola","0.86","2023",169,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","0.78","2023",170,"Australia and Oceania"
"Moldova","moldova","0.78","2023",171,"Europe"
"Yemen","yemen","0.75","2018",172,"Middle East"
"Switzerland","switzerland","0.72","2023",173,"Europe"
"France","france","0.7","2023",174,"Europe"
"Nauru","nauru","0.7","2023",175,"Australia and Oceania"
"New Zealand","new-zealand","0.63","2023",176,"Australia and Oceania"
"Colombia","colombia","0.61","2023",177,"South America"
"South Africa","south-africa","0.6","2023",178,"Africa"
"Puerto Rico","puerto-rico","0.56","2023",179,"Central America and the Caribbean"
"Norway","norway","0.51","2023",180,"Europe"
"Palau","palau","0.45","2023",181,"Australia and Oceania"
"Tunisia","tunisia","0.42","2023",182,"Africa"
"Uruguay","uruguay","0.37","2023",183,"South America"
"Chile","chile","0.22","2023",184,"South America"
"Poland","poland","0.16","2023",185,"Europe"
"Netherlands","netherlands","0.12","2023",186,"Europe"
"United Kingdom","united-kingdom","0.1","2023",187,"Europe"
"Pakistan","pakistan","0","2023",188,"South Asia"
"Lebanon","lebanon","-0.15","2023",189,"Middle East"
"Sweden","sweden","-0.2","2023",190,"Europe"
"Latvia","latvia","-0.28","2023",191,"Europe"
"Germany","germany","-0.3","2023",192,"Europe"
"Czechia","czechia","-0.31","2023",193,"Europe"
"Lithuania","lithuania","-0.34","2023",194,"Europe"
"Sao Tome and Principe","sao-tome-and-principe","-0.47","2023",195,"Africa"
"Peru","peru","-0.55","2023",196,"South America"
"Saudi Arabia","saudi-arabia","-0.75","2023",197,"Middle East"
"Austria","austria","-0.83","2023",198,"Europe"
"Hungary","hungary","-0.91","2023",199,"Europe"
"Finland","finland","-1.04","2023",200,"Europe"
"Luxembourg","luxembourg","-1.1","2023",201,"Europe"
"Korea, North","korea-north","-1.1","2015",202,"East and Southeast Asia"
"Argentina","argentina","-1.55","2023",203,"South America"
"Libya","libya","-1.67","2023",204,"Africa"
"Haiti","haiti","-1.86","2023",205,"Central America and the Caribbean"
"Tonga","tonga","-2.01","2022",206,"Australia and Oceania"
"Kuwait","kuwait","-2.23","2023",207,"Middle East"
"Sri Lanka","sri-lanka","-2.3","2023",208,"South Asia"
"Iraq","iraq","-2.94","2023",209,"Middle East"
"Estonia","estonia","-3.01","2023",210,"Europe"
"Ireland","ireland","-3.2","2023",211,"Europe"
"South Sudan","south-sudan","-5.2","2017",212,"Africa"
"West Bank","west-bank","-5.51","2023",213,"Middle East"
"Gaza Strip","gaza-strip","-5.51","2023",214,"Middle East"
"Equatorial Guinea","equatorial-guinea","-5.69","2023",215,"Africa"
"Afghanistan","afghanistan","-6.24","2022",216,"South Asia"
"Sudan","sudan","-12.05","2023",217,"Africa"
"Timor-Leste","timor-leste","-14.36","2023",218,"East and Southeast Asia"
"Venezuela","venezuela","-19.67","2018",219,"South America"
"Northern Mariana Islands","northern-mariana-islands","-29.68","2020",220,"Australia and Oceania"
