name,slug,value,date_of_information,ranking,region
"Luxembourg","luxembourg","$132,400","2023",1,"Europe"
"Singapore","singapore","$127,500","2023",2,"East and Southeast Asia"
"Monaco","monaco","$115,700","2015",3,"Europe"
"Ireland","ireland","$115,600","2023",4,"Europe"
"Qatar","qatar","$113,200","2022",5,"Middle East"
"Macau","macau","$102,000","2023",6,"East and Southeast Asia"
"Bermuda","bermuda","$99,800","2022",7,"North America"
"Norway","norway","$90,500","2023",8,"Europe"
"Isle of Man","isle-of-man","$84,600","2014",9,"Europe"
"Switzerland","switzerland","$82,900","2023",10,"Europe"
"Cayman Islands","cayman-islands","$79,600","2022",11,"Central America and the Caribbean"
"Brunei","brunei","$77,900","2023",12,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","$75,600","2023",13,"Middle East"
"United States","united-states","$73,600","2023",14,"North America"
"Denmark","denmark","$72,000","2023",15,"Europe"
"Faroe Islands","faroe-islands","$71,500","2022",16,"Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$70,800","2015",17,"South America"
"Netherlands","netherlands","$69,300","2023",18,"Europe"
"Greenland","greenland","$68,100","2021",19,"North America"
"Iceland","iceland","$66,500","2023",20,"Europe"
"San Marino","san-marino","$65,700","2021",21,"Europe"
"Austria","austria","$64,600","2023",22,"Europe"
"Andorra","andorra","$64,500","2023",23,"Europe"
"Hong Kong","hong-kong","$64,400","2023",24,"East and Southeast Asia"
"Sweden","sweden","$64,200","2023",25,"Europe"
"Belgium","belgium","$63,600","2023",26,"Europe"
"Germany","germany","$61,900","2023",27,"Europe"
"Gibraltar","gibraltar","$61,700","2014",28,"Europe"
"Australia","australia","$59,500","2023",29,"Australia and Oceania"
"Bahrain","bahrain","$57,600","2023",30,"Middle East"
"Finland","finland","$57,500","2023",31,"Europe"
"Malta","malta","$57,200","2023",32,"Europe"
"Jersey","jersey","$56,600","2016",33,"Europe"
"Canada","canada","$55,800","2023",34,"North America"
"France","france","$55,200","2023",35,"Europe"
"United Kingdom","united-kingdom","$54,100","2023",36,"Europe"
"Italy","italy","$52,700","2023",37,"Europe"
"Guernsey","guernsey","$52,500","2014",38,"Europe"
"Kuwait","kuwait","$50,800","2023",39,"Middle East"
"Cyprus","cyprus","$50,600","2023",40,"Europe"
"Korea, South","korea-south","$50,600","2023",41,"East and Southeast Asia"
"Guyana","guyana","$49,800","2023",42,"South America"
"Saudi Arabia","saudi-arabia","$49,600","2023",43,"Middle East"
"New Zealand","new-zealand","$48,800","2023",44,"Australia and Oceania"
