name,slug,% (of GDP),date_of_information,ranking,region
"Greenland","greenland","77.4","2016",1,"North America"
"Andorra","andorra","69","2016",2,"Europe"
"Cuba","cuba","58.1","2017",3,"Central America and the Caribbean"
"Libya","libya","51.6","2017",4,"Africa"
"Anguilla","anguilla","46.7","2017",5,"Central America and the Caribbean"
"Nauru","nauru","44.35","2020",6,"Australia and Oceania"
"Venezuela","venezuela","44.2","2017",7,"South America"
"Kuwait","kuwait","41.8","2017",8,"Middle East"
"Dominica","dominica","40.9","2017",9,"Central America and the Caribbean"
"Bolivia","bolivia","39.9","2017",10,"South America"
"Cayman Islands","cayman-islands","38.9","2017",11,"Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","38.9","2017",12,"Central America and the Caribbean"
"American Samoa","american-samoa","37.8","2016",13,"Australia and Oceania"
"Montenegro","montenegro","37.2","2017",14,"Europe"
"Djibouti","djibouti","35.3","2017",15,"Africa"
"Japan","japan","35.2","2017",16,"East and Southeast Asia"
"Eritrea","eritrea","34.9","2017",17,"Africa"
"Algeria","algeria","32.3","2017",18,"Africa"
"Northern Mariana Islands","northern-mariana-islands","31.4","2016",19,"Australia and Oceania"
"Lesotho","lesotho","31.31","2022",20,"Africa"
"Oman","oman","31.3","2017",21,"Middle East"
"Norway","norway","31.27","2022",22,"Europe"
"Denmark","denmark","30.56","2022",23,"Europe"
"Faroe Islands","faroe-islands","30.2","2014",24,"Europe"
"New Zealand","new-zealand","29.93","2022",25,"Australia and Oceania"
"Kosovo","kosovo","29","2017",26,"Europe"
"Virgin Islands","virgin-islands","28.9","2016",27,"Central America and the Caribbean"
"Guyana","guyana","28.1","2017",28,"South America"
"Greece","greece","27.81","2022",29,"Europe"
"Mauritania","mauritania","27.4","2017",30,"Africa"
"Barbados","barbados","27.39","2016",31,"Central America and the Caribbean"
"United Kingdom","united-kingdom","27.3","2022",32,"Europe"
"Namibia","namibia","27.17","2022",33,"Africa"
"Sweden","sweden","27.11","2022",34,"Europe"
"Qatar","qatar","26.4","2017",35,"Middle East"
"Austria","austria","26.24","2022",36,"Europe"
"Sao Tome and Principe","sao-tome-and-principe","26.2","2017",37,"Africa"
"Seychelles","seychelles","26.18","2020",38,"Africa"
"South Africa","south-africa","26.11","2022",39,"Africa"
"Luxembourg","luxembourg","25.97","2022",40,"Europe"
"Grenada","grenada","25.8","2017",41,"Central America and the Caribbean"
"Jamaica","jamaica","25.71","2020",42,"Central America and the Caribbean"
"Comoros","comoros","25.3","2017",43,"Africa"
"Aruba","aruba","25.2","2017",44,"Central America and the Caribbean"
"Serbia","serbia","25.11","2022",45,"Europe"
"Samoa","samoa","25.02","2021",46,"Australia and Oceania"
"Israel","israel","25.01","2022",47,"Middle East"
"Italy","italy","24.92","2022",48,"Europe"
"Vietnam","vietnam","24.8","2017",49,"East and Southeast Asia"
"Cyprus","cyprus","24.71","2022",50,"Europe"
"Tunisia","tunisia","24.7","2017",51,"Africa"
"France","france","24.62","2022",52,"Europe"
"Eswatini","eswatini","24.13","2021",53,"Africa"
"Netherlands","netherlands","24.11","2022",54,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","23.8","2017",55,"Central America and the Caribbean"
"Australia","australia","23.6","2022",56,"Australia and Oceania"
"Hungary","hungary","23.43","2022",57,"Europe"
"Malta","malta","23.37","2022",58,"Europe"
