name,slug,%,date_of_information,ranking,region
"Djibouti","djibouti","76.5","2023",1,"Africa"
"Eswatini","eswatini","65","2023",2,"Africa"
"Libya","libya","49.4","2023",3,"Africa"
"South Africa","south-africa","49.1","2023",4,"Africa"
"Kosovo","kosovo","48.8","2020",5,"Europe"
"Botswana","botswana","45.4","2023",6,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","42.3","2023",7,"Central America and the Caribbean"
"Curacao","curacao","42.2","2020",8,"Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","41.2","2023",9,"Africa"
"Jordan","jordan","40.8","2023",10,"Middle East"
"Namibia","namibia","38","2023",11,"Africa"
"Tunisia","tunisia","37.5","2023",12,"Africa"
"French Polynesia","french-polynesia","37.3","2023",13,"Australia and Oceania"
"Haiti","haiti","36.8","2023",14,"Central America and the Caribbean"
"Gabon","gabon","36.5","2023",15,"Africa"
"West Bank","west-bank","36","2022",16,"Middle East"
"Gaza Strip","gaza-strip","36","2022",17,"Middle East"
"Somalia","somalia","34.3","2023",18,"Africa"
"Syria","syria","33.5","2023",19,"Middle East"
"Yemen","yemen","32.7","2023",20,"Middle East"
"New Caledonia","new-caledonia","32.6","2023",21,"Australia and Oceania"
"Iraq","iraq","32.2","2023",22,"Middle East"
"Algeria","algeria","30.8","2023",23,"Africa"
"Georgia","georgia","30.2","2023",24,"Middle East"
"Bermuda","bermuda","29.3","2014",25,"North America"
"Bhutan","bhutan","29.2","2023",26,"South Asia"
"Cabo Verde","cabo-verde","28.7","2023",27,"Africa"
"Spain","spain","28.7","2023",28,"Europe"
"North Macedonia","north-macedonia","28.6","2023",29,"Europe"
"Angola","angola","28.2","2023",30,"Africa"
"Saint Lucia","saint-lucia","28.2","2023",31,"Central America and the Caribbean"
"Albania","albania","28.2","2023",32,"Europe"
"Montenegro","montenegro","27.9","2023",33,"Europe"
"San Marino","san-marino","27.4","2016",34,"Europe"
"Greece","greece","26.6","2023",35,"Europe"
"Monaco","monaco","26.6","2016",36,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","26.5","2023",37,"Europe"
"Uruguay","uruguay","26.2","2023",38,"South America"
"Marshall Islands","marshall-islands","26","2019",39,"Australia and Oceania"
"Guyana","guyana","25.9","2023",40,"South America"
"Virgin Islands","virgin-islands","25.6","2023",41,"Central America and the Caribbean"
"Suriname","suriname","25.3","2023",42,"South America"
"Sri Lanka","sri-lanka","25.3","2023",43,"South Asia"
"Barbados","barbados","24.9","2023",44,"Central America and the Caribbean"
"Lesotho","lesotho","24.8","2023",45,"Africa"
"Serbia","serbia","24.3","2023",46,"Europe"
"Costa Rica","costa-rica","24.1","2023",47,"Central America and the Caribbean"
"Mauritania","mauritania","23.7","2023",48,"Africa"
"Lebanon","lebanon","23.7","2023",49,"Middle East"
"Bahamas, The","bahamas-the","23.6","2023",50,"Central America and the Caribbean"
"Iran","iran","22.8","2023",51,"Middle East"
"Italy","italy","22.7","2023",52,"Europe"
"Morocco","morocco","22.6","2023",53,"Africa"
"Kiribati","kiribati","22.5","2019",54,"Australia and Oceania"
"Rwanda","rwanda","22","2023",55,"Africa"
"Chile","chile","22","2023",56,"South America"
"Sweden","sweden","21.6","2023",57,"Europe"
"Romania","romania","21.3","2023",58,"Europe"
"Sao Tome and Principe","sao-tome-and-principe","21.1","2023",59,"Africa"
"Mauritius","mauritius","20.9","2023",60,"Africa"
"Tuvalu","tuvalu","20.6","2016",61,"Australia and Oceania"
"Nepal","nepal","20.4","2023",62,"South Asia"
"Portugal","portugal","20.2","2023",63,"Europe"
"Samoa","samoa","19.8","2023",64,"Australia and Oceania"
"Slovakia","slovakia","19.4","2023",65,"Europe"
"Colombia","colombia","19.3","2023",66,"South America"
"Croatia","croatia","19.2","2023",67,"Europe"
"Ukraine","ukraine","19.1","2021",68,"Europe"
"Egypt","egypt","19","2023",69,"Africa"
"Luxembourg","luxembourg","19","2023",70,"Europe"
"Armenia","armenia","19","2023",71,"Middle East"
"Micronesia, Federated States of","micronesia-federated-states-of","18.9","2014",72,"Australia and Oceania"
"Brunei","brunei","18.6","2023",73,"East and Southeast Asia"
"South Sudan","south-sudan","18.3","2023",74,"Africa"
"Sudan","sudan","18.2","2023",75,"Africa"
"Afghanistan","afghanistan","18.1","2023",76,"South Asia"
"Argentina","argentina","18","2023",77,"South America"
"Brazil","brazil","17.9","2023",78,"South America"
"Turkey (Turkiye)","turkey-turkiye","17.6","2023",79,"Middle East"
"Cyprus","cyprus","17.5","2023",80,"Europe"
"Belize","belize","17.4","2023",81,"Central America and the Caribbean"
"Estonia","estonia","17.1","2023",82,"Europe"
"France","france","17.1","2023",83,"Europe"
"Tajikistan","tajikistan","16.9","2023",84,"Central Asia"
"Panama","panama","16.6","2023",85,"Central America and the Caribbean"
"Seychelles","seychelles","16.5","2020",86,"Africa"
"Equatorial Guinea","equatorial-guinea","16.4","2023",87,"Africa"
"Saudi Arabia","saudi-arabia","16.3","2023",88,"Middle East"
"Belgium","belgium","16.1","2023",89,"Europe"
"Finland","finland","15.9","2023",90,"Europe"
