name,slug,value,date_of_information,ranking,region
"United States","united-states","15,873","2024",1,"North America"
"Brazil","brazil","4,919","2024",2,"South America"
"Australia","australia","2,180","2024",3,"Australia and Oceania"
"Mexico","mexico","1,485","2024",4,"North America"
"Canada","canada","1,425","2024",5,"North America"
"United Kingdom","united-kingdom","1,043","2024",6,"Europe"
"Russia","russia","904","2024",7,"Central Asia"
"Germany","germany","838","2024",8,"Europe"
"Argentina","argentina","756","2024",9,"South America"
"France","france","689","2024",10,"Europe"
"Colombia","colombia","662","2024",11,"South America"
"Italy","italy","636","2024",12,"Europe"
"South Africa","south-africa","575","2024",13,"Africa"
"Papua New Guinea","papua-new-guinea","535","2024",14,"East and Southeast Asia"
"China","china","531","2024",15,"East and Southeast Asia"
"Indonesia","indonesia","513","2024",16,"East and Southeast Asia"
"Venezuela","venezuela","502","2024",17,"South America"
"Chile","chile","374","2024",18,"South America"
"Kenya","kenya","370","2024",19,"Africa"
"Spain","spain","363","2024",20,"Europe"
"India","india","311","2024",21,"South Asia"
"Ecuador","ecuador","310","2024",22,"South America"
"Poland","poland","288","2024",23,"Europe"
"Japan","japan","279","2024",24,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","272","2024",25,"Africa"
"Namibia","namibia","255","2024",26,"Africa"
"Philippines","philippines","246","2024",27,"East and Southeast Asia"
"Czechia","czechia","243","2024",28,"Europe"
"Tanzania","tanzania","206","2024",29,"Africa"
"Sweden","sweden","203","2024",30,"Europe"
"New Zealand","new-zealand","202","2024",31,"Australia and Oceania"
"Bolivia","bolivia","200","2024",32,"South America"
"Iran","iran","173","2024",33,"Middle East"
"Peru","peru","166","2024",34,"South America"
"Ukraine","ukraine","148","2024",35,"Europe"
"Norway","norway","145","2024",36,"Europe"
"Zimbabwe","zimbabwe","144","2024",37,"Africa"
"Kazakhstan","kazakhstan","132","2024",38,"Central Asia"
"Portugal","portugal","130","2024",39,"Europe"
"Honduras","honduras","129","2024",40,"Central America and the Caribbean"
"Costa Rica","costa-rica","129","2024",41,"Central America and the Caribbean"
"Cuba","cuba","123","2024",42,"Central America and the Caribbean"
"Botswana","botswana","122","2024",43,"Africa"
"Zambia","zambia","119","2024",44,"Africa"
"Pakistan","pakistan","116","2024",45,"South Asia"
"Turkey (Turkiye)","turkey-turkiye","115","2024",46,"Middle East"
"Slovakia","slovakia","114","2024",47,"Europe"
"Bulgaria","bulgaria","111","2024",48,"Europe"
"Hungary","hungary","109","2024",49,"Europe"
"Thailand","thailand","108","2024",50,"East and Southeast Asia"
"Angola","angola","106","2024",51,"Africa"
"Malaysia","malaysia","102","2024",52,"East and Southeast Asia"
"Ireland","ireland","100","2024",53,"Europe"
"Denmark","denmark","99","2024",54,"Europe"
"Finland","finland","98","2024",55,"Europe"
"Mozambique","mozambique","92","2024",56,"Africa"
"Madagascar","madagascar","91","2024",57,"Africa"
"Korea, South","korea-south","89","2024",58,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","86","2024",59,"Middle East"
"Algeria","algeria","85","2024",60,"Africa"
"Korea, North","korea-north","83","2024",61,"East and Southeast Asia"
"Paraguay","paraguay","83","2024",62,"South America"
"Iceland","iceland","83","2024",63,"Europe"
"South Sudan","south-sudan","82","2024",64,"Africa"
"Romania","romania","82","2024",65,"Europe"
"Greece","greece","81","2024",66,"Europe"
"Panama","panama","76","2024",67,"Central America and the Caribbean"
"Uzbekistan","uzbekistan","74","2024",68,"Central Asia"
"Egypt","egypt","73","2024",69,"Africa"
"Burma","burma","73","2024",70,"East and Southeast Asia"
"Iraq","iraq","71","2024",71,"Middle East"
"Afghanistan","afghanistan","67","2024",72,"South Asia"
"Libya","libya","66","2024",73,"Africa"
"Lithuania","lithuania","65","2024",74,"Europe"
"Uruguay","uruguay","64","2024",75,"South America"
"Switzerland","switzerland","62","2024",76,"Europe"
"Austria","austria","61","2024",77,"Europe"
"Guatemala","guatemala","58","2024",78,"Central America and the Caribbean"
"Ethiopia","ethiopia","57","2024",79,"Africa"
"Latvia","latvia","56","2024",80,"Europe"
"Congo, Republic of the","congo-republic-of-the","56","2024",81,"Africa"
"Suriname","suriname","55","2024",82,"South America"
"Bahamas, The","bahamas-the","55","2024",83,"Central America and the Caribbean"
"French Polynesia","french-polynesia","54","2024",84,"Australia and Oceania"
"Taiwan","taiwan","53","2024",85,"East and Southeast Asia"
"Guyana","guyana","51","2024",86,"South America"
"Nepal","nepal","51","2024",87,"South Asia"
"Belgium","belgium","49","2024",88,"Europe"
"Morocco","morocco","49","2024",89,"Africa"
"Burkina Faso","burkina-faso","49","2024",90,"Africa"
"Nigeria","nigeria","47","2024",91,"Africa"
"Belarus","belarus","46","2024",92,"Europe"
"Netherlands","netherlands","45","2024",93,"Europe"
"Central African Republic","central-african-republic","43","2024",94,"Africa"
"Serbia","serbia","43","2024",95,"Europe"
"Chad","chad","42","2024",96,"Africa"
"United Arab Emirates","united-arab-emirates","42","2024",97,"Middle East"
"Vietnam","vietnam","42","2024",98,"East and Southeast Asia"
"Slovenia","slovenia","42","2024",99,"Europe"
"Sudan","sudan","41","2024",100,"Africa"
"Croatia","croatia","40","2024",101,"Europe"
"Gabon","gabon","40","2024",102,"Africa"
