name,slug,value,date_of_information,ranking,region
"China","china","483,549,500","2020",1,"East and Southeast Asia"
"United States","united-states","121,176,000","2020",2,"North America"
"Japan","japan","44,000,791","2020",3,"East and Southeast Asia"
"Brazil","brazil","36,344,670","2020",4,"South America"
"Germany","germany","36,215,303","2020",5,"Europe"
"Russia","russia","33,893,305","2020",6,"Central Asia"
"France","france","30,627,000","2020",7,"Europe"
"United Kingdom","united-kingdom","27,330,297","2020",8,"Europe"
"India","india","22,950,000","2020",9,"South Asia"
"Korea, South","korea-south","22,327,182","2020",10,"East and Southeast Asia"
"Mexico","mexico","21,936,131","2020",11,"North America"
"Italy","italy","18,128,787","2020",12,"Europe"
"Turkey (Turkiye)","turkey-turkiye","16,734,853","2020",13,"Middle East"
"Vietnam","vietnam","16,699,249","2020",14,"East and Southeast Asia"
"Spain","spain","16,188,502","2020",15,"Europe"
"Canada","canada","15,825,813","2020",16,"North America"
"Indonesia","indonesia","11,722,218","2020",17,"East and Southeast Asia"
"Thailand","thailand","11,478,265","2020",18,"East and Southeast Asia"
"Bangladesh","bangladesh","10,052,819","2020",19,"South Asia"
"Argentina","argentina","9,571,562","2020",20,"South America"
"Iran","iran","9,564,195","2020",21,"Middle East"
"Egypt","egypt","9,349,469","2020",22,"Africa"
"Australia","australia","9,099,619","2020",23,"Australia and Oceania"
"Poland","poland","8,369,218","2020",24,"Europe"
"Philippines","philippines","7,936,574","2020",25,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","7,890,261","2020",26,"Middle East"
"Ukraine","ukraine","7,769,401","2020",27,"Europe"
"Colombia","colombia","7,764,772","2020",28,"South America"
"Netherlands","netherlands","7,525,016","2020",29,"Europe"
"Iraq","iraq","6,254,099","2020",30,"Middle East"
"Taiwan","taiwan","5,831,470","2019",31,"East and Southeast Asia"
"Romania","romania","5,684,782","2020",32,"Europe"
"Uzbekistan","uzbekistan","4,820,009","2020",33,"Central Asia"
"Belgium","belgium","4,734,210","2020",34,"Europe"
"Greece","greece","4,257,026","2020",35,"Europe"
"Sweden","sweden","4,179,574","2020",36,"Europe"
"Portugal","portugal","4,160,795","2020",37,"Europe"
"Switzerland","switzerland","4,028,238","2020",38,"Europe"
"Czechia","czechia","3,845,426","2020",39,"Europe"
"Algeria","algeria","3,790,459","2020",40,"Africa"
"Chile","chile","3,763,826","2020",41,"South America"
"Hungary","hungary","3,382,136","2021",42,"Europe"
"Malaysia","malaysia","3,358,800","2020",43,"East and Southeast Asia"
"Belarus","belarus","3,255,552","2020",44,"Europe"
"United Arab Emirates","united-arab-emirates","3,245,123","2020",45,"Middle East"
"Peru","peru","3,044,000","2020",46,"South America"
"Hong Kong","hong-kong","2,885,586","2020",47,"East and Southeast Asia"
"Kazakhstan","kazakhstan","2,620,400","2020",48,"Central Asia"
"Austria","austria","2,606,000","2020",49,"Europe"
"Israel","israel","2,602,079","2020",50,"Middle East"
"Denmark","denmark","2,590,282","2020",51,"Europe"
"Venezuela","venezuela","2,561,556","2020",52,"South America"
"Pakistan","pakistan","2,523,027","2020",53,"South Asia"
"Norway","norway","2,387,661","2020",54,"Europe"
"Ecuador","ecuador","2,371,297","2020",55,"South America"
"Bulgaria","bulgaria","2,115,053","2020",56,"Europe"
"Morocco","morocco","2,102,434","2020",57,"Africa"
"Azerbaijan","azerbaijan","1,995,474","2020",58,"Middle East"
"Finland","finland","1,846,000","2020",59,"Europe"
"Sri Lanka","sri-lanka","1,781,530","2020",60,"South Asia"
"New Zealand","new-zealand","1,764,984","2020",61,"Australia and Oceania"
"Serbia","serbia","1,730,496","2020",62,"Europe"
"Slovakia","slovakia","1,701,561","2020",63,"Europe"
"Syria","syria","1,549,356","2020",64,"Middle East"
"Ireland","ireland","1,516,473","2020",65,"Europe"
"Singapore","singapore","1,509,700","2020",66,"East and Southeast Asia"
"Tunisia","tunisia","1,334,059","2020",67,"Africa"
"South Africa","south-africa","1,303,057","2020",68,"Africa"
"Nepal","nepal","1,270,000","2020",69,"South Asia"
"Tanzania","tanzania","1,135,608","2020",70,"Africa"
"Uruguay","uruguay","1,063,701","2020",71,"South America"
"Dominican Republic","dominican-republic","1,031,858","2020",72,"Central America and the Caribbean"
"Croatia","croatia","1,030,973","2020",73,"Europe"
"Costa Rica","costa-rica","992,725","2020",74,"Central America and the Caribbean"
"Georgia","georgia","986,809","2021",75,"Middle East"
"Bolivia","bolivia","931,918","2020",76,"South America"
"Lithuania","lithuania","796,814","2020",77,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","770,424","2020",78,"Europe"
"Cameroon","cameroon","722,579","2020",79,"Africa"
"Moldova","moldova","719,001","2020",80,"Europe"
"Burma","burma","688,185","2020",81,"East and Southeast Asia"
"Kenya","kenya","674,191","2020",82,"Africa"
"Puerto Rico","puerto-rico","671,284","2020",83,"Central America and the Caribbean"
"Slovenia","slovenia","651,604","2020",84,"Europe"
"Jordan","jordan","630,545","2020",85,"Middle East"
"Guatemala","guatemala","612,000","2020",86,"Central America and the Caribbean"
"El Salvador","el-salvador","586,000","2020",87,"Central America and the Caribbean"
