name,slug,value,date_of_information,ranking,region
"Indonesia","indonesia","11,422","2023",1,"East and Southeast Asia"
"China","china","8,314","2023",2,"East and Southeast Asia"
"Panama","panama","8,174","2023",3,"Central America and the Caribbean"
"Japan","japan","5,229","2023",4,"East and Southeast Asia"
"Liberia","liberia","4,821","2023",5,"Africa"
"Marshall Islands","marshall-islands","4,180","2023",6,"Australia and Oceania"
"United States","united-states","3,533","2023",7,"North America"
"Singapore","singapore","3,202","2023",8,"East and Southeast Asia"
"Russia","russia","2,910","2023",9,"Central Asia"
"Hong Kong","hong-kong","2,537","2023",10,"East and Southeast Asia"
"Philippines","philippines","2,203","2023",11,"East and Southeast Asia"
"Korea, South","korea-south","2,149","2023",12,"East and Southeast Asia"
"Vietnam","vietnam","1,973","2022",13,"East and Southeast Asia"
"Malta","malta","1,957","2023",14,"Europe"
"India","india","1,859","2023",15,"South Asia"
"Malaysia","malaysia","1,750","2023",16,"East and Southeast Asia"
"Norway","norway","1,720","2022",17,"Europe"
"Italy","italy","1,276","2023",18,"Europe"
"Bahamas, The","bahamas-the","1,274","2023",19,"Central America and the Caribbean"
"Greece","greece","1,215","2023",20,"Europe"
"Netherlands","netherlands","1,187","2023",21,"Europe"
"Turkey (Turkiye)","turkey-turkiye","1,170","2023",22,"Middle East"
"Cyprus","cyprus","1,005","2023",23,"Europe"
"Iran","iran","965","2023",24,"Middle East"
"Nigeria","nigeria","928","2023",25,"Africa"
"Brazil","brazil","888","2023",26,"South America"
"Portugal","portugal","888","2023",27,"Europe"
"Thailand","thailand","884","2023",28,"East and Southeast Asia"
"United Kingdom","united-kingdom","868","2023",29,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","830","2023",30,"Central America and the Caribbean"
"Belize","belize","774","2023",31,"Central America and the Caribbean"
"Canada","canada","716","2023",32,"North America"
"Denmark","denmark","715","2023",33,"Europe"
"Mexico","mexico","674","2023",34,"North America"
"United Arab Emirates","united-arab-emirates","655","2023",35,"Middle East"
"Antigua and Barbuda","antigua-and-barbuda","614","2023",36,"Central America and the Caribbean"
"Australia","australia","604","2023",37,"Australia and Oceania"
"Germany","germany","595","2023",38,"Europe"
"Sierra Leone","sierra-leone","584","2023",39,"Africa"
"Bangladesh","bangladesh","558","2023",40,"South Asia"
"France","france","553","2023",41,"Europe"
"Spain","spain","503","2023",42,"Europe"
"Honduras","honduras","489","2023",43,"Central America and the Caribbean"
"Taiwan","taiwan","465","2023",44,"East and Southeast Asia"
"Egypt","egypt","441","2023",45,"Africa"
"Saudi Arabia","saudi-arabia","433","2023",46,"Middle East"
"Palau","palau","427","2023",47,"Australia and Oceania"
"Ukraine","ukraine","410","2023",48,"Europe"
"Togo","togo","397","2023",49,"Africa"
"Croatia","croatia","384","2023",50,"Europe"
"Tanzania","tanzania","381","2023",51,"Africa"
"Sweden","sweden","361","2023",52,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","341","2023",53,"Central America and the Caribbean"
