name,slug, km,date_of_information,ranking,region
"United States","united-states","6,586,610","",1,"North America"
"India","india","6,371,847","2021",2,"South Asia"
"China","china","5,200,000","2020",3,"East and Southeast Asia"
"Brazil","brazil","2,000,000","",4,"South America"
"Russia","russia","1,283,387","",5,"Central Asia"
"Japan","japan","1,218,772","",6,"East and Southeast Asia"
"France","france","1,090,059","2022",7,"Europe"
"Canada","canada","1,042,300","",8,"North America"
"Australia","australia","873,573","",9,"Australia and Oceania"
"Germany","germany","830,000","",10,"Europe"
"South Africa","south-africa","750,000","",11,"Africa"
"Mexico","mexico","704,884","",12,"North America"
"Indonesia","indonesia","496,607","",13,"East and Southeast Asia"
"Poland","poland","427,580","2022",14,"Europe"
"United Kingdom","united-kingdom","416,461","2022",15,"Europe"
"Bangladesh","bangladesh","369,105","",16,"South Asia"
"Pakistan","pakistan","264,175","",17,"South Asia"
"Argentina","argentina","240,000","",18,"South America"
"Italy","italy","228,863","2021",19,"Europe"
"Uzbekistan","uzbekistan","225,500","2013",20,"Central Asia"
"Iran","iran","223,485","",21,"Middle East"
"Saudi Arabia","saudi-arabia","221,372","",22,"Middle East"
"Hungary","hungary","216,443","2022",23,"Europe"
"Philippines","philippines","216,387","",24,"East and Southeast Asia"
"Colombia","colombia","206,102","2022",25,"South America"
"Sweden","sweden","197,964","2022",26,"Europe"
"Vietnam","vietnam","195,468","",27,"East and Southeast Asia"
"Nigeria","nigeria","195,000","",28,"Africa"
"Thailand","thailand","180,053","2006",29,"East and Southeast Asia"
"Ethiopia","ethiopia","180,000","2023",30,"Africa"
"Ukraine","ukraine","169,694","",31,"Europe"
"Kenya","kenya","161,451","",32,"Africa"
"Burma","burma","157,000","2013",33,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","152,373","",34,"Africa"
"Spain","spain","150,110","2021",35,"Europe"
"Tanzania","tanzania","145,203","",36,"Africa"
"Malaysia","malaysia","144,403","",37,"East and Southeast Asia"
"Mali","mali","139,107","2014",38,"Africa"
"Netherlands","netherlands","139,027","2022",39,"Europe"
"Czechia","czechia","129,418","2022",40,"Europe"
"Austria","austria","126,233","2022",41,"Europe"
"Belgium","belgium","118,414","",42,"Europe"
"Greece","greece","117,000","2018",43,"Europe"
"Sri Lanka","sri-lanka","114,093","",44,"South Asia"
"Mongolia","mongolia","113,200","",45,"East and Southeast Asia"
"Algeria","algeria","112,696","2020",46,"Africa"
"Finland","finland","108,637","2019",47,"Europe"
"Ireland","ireland","102,227","2022",48,"Europe"
"Korea, South","korea-south","100,428","",49,"East and Southeast Asia"
"Zimbabwe","zimbabwe","97,267","",50,"Africa"
"Venezuela","venezuela","96,189","2014",51,"South America"
"Kazakhstan","kazakhstan","96,167","",52,"Central Asia"
"Norway","norway","95,120","2022",53,"Europe"
"New Zealand","new-zealand","94,000","",54,"Australia and Oceania"
"Bolivia","bolivia","90,568","",55,"South America"
"South Sudan","south-sudan","90,200","",56,"Africa"
"Estonia","estonia","89,382","2022",57,"Europe"
"Belarus","belarus","86,600","2017",58,"Europe"
"Romania","romania","85,387","2022",59,"Europe"
"Lithuania","lithuania","83,821","2022",60,"Europe"
"Switzerland","switzerland","83,131","2022",61,"Europe"
"Cote d'Ivoire","cote-divoire","81,996","",62,"Africa"
"Paraguay","paraguay","78,811","",63,"South America"
"Chile","chile","77,801","2016",64,"South America"
"Uruguay","uruguay","77,732","",65,"South America"
"Cameroon","cameroon","77,589","",66,"Africa"
"Angola","angola","76,000","",67,"Africa"
"Denmark","denmark","73,591","2022",68,"Europe"
"Yemen","yemen","71,300","",69,"Middle East"
"Peru","peru","70,000","2021",70,"South America"
"Syria","syria","69,873","",71,"Middle East"
"Turkey (Turkiye)","turkey-turkiye","68,526","2023",72,"Middle East"
"Zambia","zambia","67,671","",73,"Africa"
"Ghana","ghana","65,725","",74,"Africa"
"Egypt","egypt","65,050","",75,"Africa"
"Nepal","nepal","64,500","2020",76,"South Asia"
"Cambodia","cambodia","61,810","",77,"East and Southeast Asia"
"Oman","oman","60,230","",78,"Middle East"
"Cuba","cuba","60,000","2015",79,"Central America and the Caribbean"
"Laos","laos","59,647","",80,"East and Southeast Asia"
"Iraq","iraq","58,592","2021",81,"Middle East"
"Turkmenistan","turkmenistan","58,592","",82,"Central Asia"
