name,slug,value,date_of_information,ranking,region
"China","china","179,414,000","2022",1,"East and Southeast Asia"
"United States","united-states","91,623,000","2022",2,"North America"
"Japan","japan","60,721,000","2022",3,"East and Southeast Asia"
"Germany","germany","38,580,000","2022",4,"Europe"
"France","france","37,740,000","2022",5,"Europe"
"United Kingdom","united-kingdom","29,798,000","2022",6,"Europe"
"Iran","iran","29,342,000","2022",7,"Middle East"
"India","india","27,450,000","2022",8,"South Asia"
"Brazil","brazil","27,258,000","2022",9,"South America"
"Mexico","mexico","27,185,000","2022",10,"North America"
"Russia","russia","23,864,000","2021",11,"Central Asia"
"Korea, South","korea-south","22,810,000","2022",12,"East and Southeast Asia"
"Italy","italy","19,982,000","2022",13,"Europe"
"Spain","spain","18,687,000","2022",14,"Europe"
"Egypt","egypt","11,600,000","2022",15,"Africa"
"Canada","canada","11,312,000","2022",16,"North America"
"Turkey (Turkiye)","turkey-turkiye","11,198,000","2022",17,"Middle East"
"Taiwan","taiwan","10,000,000","2023",18,"East and Southeast Asia"
"Malaysia","malaysia","8,453,000","2022",19,"East and Southeast Asia"
"Indonesia","indonesia","8,424,000","2022",20,"East and Southeast Asia"
"Argentina","argentina","7,615,000","2022",21,"South America"
"Colombia","colombia","7,588,000","2022",22,"South America"
"Saudi Arabia","saudi-arabia","6,773,000","2022",23,"Middle East"
"Australia","australia","6,409,000","2022",24,"Australia and Oceania"
"Uzbekistan","uzbekistan","5,686,000","2022",25,"Central Asia"
"Algeria","algeria","5,576,000","2022",26,"Africa"
"Portugal","portugal","5,437,000","2022",27,"Europe"
"Poland","poland","5,277,000","2022",28,"Europe"
"Greece","greece","4,907,000","2022",29,"Europe"
"Philippines","philippines","4,885,000","2022",30,"East and Southeast Asia"
"Netherlands","netherlands","4,570,000","2022",31,"Europe"
"Thailand","thailand","4,368,000","2022",32,"East and Southeast Asia"
"Belarus","belarus","4,230,000","2022",33,"Europe"
"Hong Kong","hong-kong","3,673,000","2022",34,"East and Southeast Asia"
"Israel","israel","3,574,000","2022",35,"Middle East"
"Austria","austria","3,544,000","2022",36,"Europe"
"Venezuela","venezuela","3,147,000","2022",37,"South America"
"Belgium","belgium","2,953,000","2022",38,"Europe"
"Switzerland","switzerland","2,919,000","2022",39,"Europe"
"Kazakhstan","kazakhstan","2,888,000","2022",40,"Central Asia"
"Hungary","hungary","2,845,000","2022",41,"Europe"
"Syria","syria","2,821,000","2021",42,"Middle East"
"Pakistan","pakistan","2,799,000","2022",43,"South Asia"
"Morocco","morocco","2,645,000","2022",44,"Africa"
"Sri Lanka","sri-lanka","2,582,000","2022",45,"South Asia"
"Serbia","serbia","2,539,000","2022",46,"Europe"
"Iraq","iraq","2,392,000","2022",47,"Middle East"
"Vietnam","vietnam","2,391,000","2022",48,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","2,286,000","2022",49,"Middle East"
"Romania","romania","2,222,000","2022",50,"Europe"
"Chile","chile","2,217,000","2022",51,"South America"
"Guatemala","guatemala","1,918,000","2022",52,"Central America and the Caribbean"
"Singapore","singapore","1,906,000","2022",53,"East and Southeast Asia"
"Peru","peru","1,798,000","2022",54,"South America"
"Tunisia","tunisia","1,790,000","2022",55,"Africa"
"Ukraine","ukraine","1,739,000","2022",56,"Europe"
"Ecuador","ecuador","1,644,000","2022",57,"South America"
"Azerbaijan","azerbaijan","1,641,000","2022",58,"Middle East"
"Cuba","cuba","1,574,000","2022",59,"Central America and the Caribbean"
"Ireland","ireland","1,498,000","2022",60,"Europe"
"South Africa","south-africa","1,310,000","2022",61,"Africa"
"Laos","laos","1,300,000","2021",62,"East and Southeast Asia"
"Sweden","sweden","1,261,000","2021",63,"Europe"
"Uruguay","uruguay","1,259,000","2022",64,"South America"
"Yemen","yemen","1,240,000","2021",65,"Middle East"
"Croatia","croatia","1,235,000","2022",66,"Europe"
