name,slug,value,date_of_information,ranking,region
"China","china","1,781,000,000","2022",1,"East and Southeast Asia"
"India","india","1,143,000,000","2022",2,"South Asia"
"United States","united-states","372,682,000","2022",3,"North America"
"Indonesia","indonesia","316,553,000","2022",4,"East and Southeast Asia"
"Russia","russia","245,267,000","2022",5,"Central Asia"
"Nigeria","nigeria","222,225,000","2022",6,"Africa"
"Brazil","brazil","212,926,000","2022",7,"South America"
"Japan","japan","207,648,000","2022",8,"East and Southeast Asia"
"Pakistan","pakistan","192,780,000","2022",9,"South Asia"
"Bangladesh","bangladesh","180,198,000","2022",10,"South Asia"
"Philippines","philippines","166,454,000","2022",11,"East and Southeast Asia"
"Iran","iran","145,668,000","2022",12,"Middle East"
"Vietnam","vietnam","137,412,000","2022",13,"East and Southeast Asia"
"Mexico","mexico","127,872,000","2022",14,"North America"
"Thailand","thailand","126,414,000","2022",15,"East and Southeast Asia"
"Germany","germany","104,400,000","2022",16,"Europe"
"Egypt","egypt","103,450,000","2022",17,"Africa"
"South Africa","south-africa","100,260,000","2022",18,"Africa"
"Turkey (Turkiye)","turkey-turkiye","90,298,000","2022",19,"Middle East"
"United Kingdom","united-kingdom","81,564,000","2022",20,"Europe"
"Colombia","colombia","80,812,000","2022",21,"South America"
"Italy","italy","78,503,000","2022",22,"Europe"
"Korea, South","korea-south","76,992,000","2022",23,"East and Southeast Asia"
"France","france","76,807,000","2022",24,"Europe"
"Ethiopia","ethiopia","69,123,000","2022",25,"Africa"
"Kenya","kenya","65,737,000","2022",26,"Africa"
"Argentina","argentina","60,236,000","2022",27,"South America"
"Tanzania","tanzania","60,192,000","2022",28,"Africa"
"Spain","spain","59,020,000","2022",29,"Europe"
"Burma","burma","57,807,000","2022",30,"East and Southeast Asia"
"Morocco","morocco","52,959,000","2022",31,"Africa"
"Poland","poland","52,589,000","2022",32,"Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","49,844,000","2022",33,"Africa"
"Ukraine","ukraine","49,304,000","2022",34,"Europe"
"Algeria","algeria","49,019,000","2022",35,"Africa"
"Cote d'Ivoire","cote-divoire","49,006,000","2022",36,"Africa"
"Saudi Arabia","saudi-arabia","48,198,000","2022",37,"Middle East"
"Malaysia","malaysia","47,952,000","2022",38,"East and Southeast Asia"
"Iraq","iraq","43,688,000","2022",39,"Middle East"
"Peru","peru","41,549,000","2022",40,"South America"
"Ghana","ghana","40,045,000","2022",41,"Africa"
"Nepal","nepal","38,213,000","2021",42,"South Asia"
"Uzbekistan","uzbekistan","35,690,000","2022",43,"Central Asia"
"Canada","canada","35,082,000","2022",44,"North America"
"Sudan","sudan","34,671,000","2022",45,"Africa"
"Uganda","uganda","33,068,000","2022",46,"Africa"
"Sri Lanka","sri-lanka","31,237,000","2022",47,"South Asia"
"Taiwan","taiwan","30,000,000","2023",48,"East and Southeast Asia"
"Australia","australia","28,018,000","2022",49,"Australia and Oceania"
"Chile","chile","26,415,000","2022",50,"South America"
"Mali","mali","25,869,000","2022",51,"Africa"
"Kazakhstan","kazakhstan","25,299,000","2022",52,"Central Asia"
"Burkina Faso","burkina-faso","24,678,000","2021",53,"Africa"
"Angola","angola","23,978,000","2022",54,"Africa"
"Romania","romania","23,219,000","2022",55,"Europe"
"Cameroon","cameroon","23,107,000","2022",56,"Africa"
"Afghanistan","afghanistan","22,678,000","2021",57,"South Asia"
"Hong Kong","hong-kong","21,861,000","2022",58,"East and Southeast Asia"
