name,slug, km,date_of_information,ranking,region
"Russia","russia","102,000","2009",1,"Central Asia"
"Brazil","brazil","50,000","2012",2,"South America"
"Vietnam","vietnam","47,130","2011",3,"East and Southeast Asia"
"Kazakhstan","kazakhstan","43,983","2020",4,"Central Asia"
"United States","united-states","41,009","2012",5,"North America"
"China","china","27,700","2020",6,"East and Southeast Asia"
"Colombia","colombia","24,725","2019",7,"South America"
"Indonesia","indonesia","21,579","2011",8,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","15,000","2011",9,"Africa"
"India","india","14,500","2012",10,"South Asia"
"Burma","burma","12,800","2011",11,"East and Southeast Asia"
"Chad","chad","12,400","2022",12,"Africa"
"Argentina","argentina","11,000","2012",13,"South America"
"Papua New Guinea","papua-new-guinea","11,000","2011",14,"East and Southeast Asia"
"Bolivia","bolivia","10,000","2012",15,"South America"
"Peru","peru","8,808","2011",16,"South America"
"Nigeria","nigeria","8,600","2011",17,"Africa"
"Bangladesh","bangladesh","8,370","2011",18,"South Asia"
"Finland","finland","8,000","2013",19,"Europe"
"Germany","germany","7,300","2022",20,"Europe"
"Malaysia","malaysia","7,200","2011",21,"East and Southeast Asia"
"Venezuela","venezuela","7,100","2011",22,"South America"
"Netherlands","netherlands","6,237","2012",23,"Europe"
"Iraq","iraq","5,279","2012",24,"Middle East"
"Croatia","croatia","4,714","2022",25,"Europe"
"Laos","laos","4,600","2012",26,"East and Southeast Asia"
"Sudan","sudan","4,068","2011",27,"Africa"
"Thailand","thailand","4,000","2011",28,"East and Southeast Asia"
"Poland","poland","3,997","2009",29,"Europe"
"Cambodia","cambodia","3,700","2012",30,"East and Southeast Asia"
"Egypt","egypt","3,500","2018",31,"Africa"
"Philippines","philippines","3,219","2011",32,"East and Southeast Asia"
"United Kingdom","united-kingdom","3,200","2009",33,"Europe"
"Paraguay","paraguay","3,100","2012",34,"South America"
"Mexico","mexico","2,900","2012",35,"North America"
"Central African Republic","central-african-republic","2,800","2011",36,"Africa"
"Belarus","belarus","2,500","2011",37,"Europe"
"Italy","italy","2,400","2012",38,"Europe"
"Zambia","zambia","2,250","2010",39,"Africa"
"Korea, North","korea-north","2,250","2011",40,"East and Southeast Asia"
"Nicaragua","nicaragua","2,220","2011",41,"Central America and the Caribbean"
"Sweden","sweden","2,052","2010",42,"Europe"
"Belgium","belgium","2,043","2012",43,"Europe"
"Australia","australia","2,000","2011",44,"Australia and Oceania"
"Mali","mali","1,800","2011",45,"Africa"
"Japan","japan","1,770","2010",46,"East and Southeast Asia"
"Romania","romania","1,731","2010",47,"Europe"
"Ukraine","ukraine","1,672","2012",48,"Europe"
"Hungary","hungary","1,622","2011",49,"Europe"
"Uruguay","uruguay","1,600","2011",50,"South America"
"Gabon","gabon","1,600","2010",51,"Africa"
"Korea, South","korea-south","1,600","2011",52,"East and Southeast Asia"
"Tanzania","tanzania","1,594","2022",53,"Africa"
"Norway","norway","1,577","2010",54,"Europe"
"Ecuador","ecuador","1,500","2012",55,"South America"
"Guinea-Bissau","guinea-bissau","1,367","2022",56,"Africa"
"Angola","angola","1,300","2011",57,"Africa"
"Guinea","guinea","1,300","2011",58,"Africa"
