IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,SSD,South Sudan,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0,,,0,,0.73,0 [0 - 0.73],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,NIU,Niue,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.002,,,0.001,,0.002,0 [0 - 0],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,TKL,Tokelau,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.0004,,,0,,0.001,0 [0 - 0],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,COK,Cook Islands,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.013,,,0.003,,0.017,0.01 [0 - 0.02],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,PLW,Palau,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.007,,,0,,0.022,0.01 [0 - 0.02],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.009,,,0.0009,,0.03,0.01 [0 - 0.03],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.014,,,0.0007,,0.055,0.01 [0 - 0.05],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,BDI,Burundi,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.013,,,0,,0.7,0.01 [0 - 0.7],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,NRU,Nauru,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.011,,,0.011,,0.011,0.01 [0.01 - 0.01],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.009,,,0.005,,0.011,0.01 [0.01 - 0.01],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.019,,,0.005,,0.041,0.02 [0 - 0.04],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.02,,,0.001,,0.07,0.02 [0 - 0.07],,,EN,2024-06-30T22:00:00.000Z
